Gene,cv1,cv2,cv3,cv4,cv5,cv_mean,cv_std,counts
non-targeting,1,1.0,0.0,10691
RPL3,0.5869837296620776,0.6357947434292867,0.6040100250626567,0.5977443609022557,0.6102756892230576,0.6069617096558668,0.016340856414317224,1996
NCBP2,0.8136020151133502,0.8136020151133502,0.8060453400503779,0.7783375314861462,0.7803030303030303,0.798377986413251,0.015815525812260405,992
KIF11,0.5641025641025641,0.5333333333333333,0.5153846153846153,0.5141388174807198,0.4910025706940874,0.5235923801990641,0.024309644599413878,974
SLC39A9,0.5714285714285714,0.6245847176079734,0.5780730897009967,0.6146179401993356,0.6366666666666667,0.6050741971207088,0.02581052306232222,752
DONSON,0.7818791946308725,0.7919463087248322,0.7986577181208053,0.7785234899328859,0.7583892617449665,0.7818791946308725,0.013754296330147091,745
NUP205,0.5306122448979592,0.5204081632653061,0.5340136054421769,0.5374149659863946,0.564625850340136,0.5374149659863946,0.01474794788345494,735
GAB2,0.8666666666666667,0.8703703703703703,0.8888888888888888,0.8921933085501859,0.862453531598513,0.876114553214925,0.012087942202267485,674
BUB1,0.5807692307692308,0.5173745173745173,0.5019305019305019,0.5444015444015444,0.5212355212355212,0.5331422631422631,0.02742139969872385,648
SNX15,0.6274509803921569,0.5568627450980392,0.615686274509804,0.5607843137254902,0.5118110236220472,0.5745190674695075,0.042259233983636235,637
CPSF3,0.8087649402390438,0.8007968127490039,0.7808764940239044,0.8286852589641435,0.752,0.794224701195219,0.026089236359794838,627
CHMP6,0.672,0.696,0.696,0.7108433734939759,0.6305220883534136,0.6810730923694779,0.028176656271563308,624
RRM2,0.6363636363636364,0.6190476190476191,0.6277056277056277,0.6363636363636364,0.6043478260869565,0.6247656691134951,0.012060293989836143,577
MED12,0.9434782608695652,0.925764192139738,0.8995633187772926,0.9475982532751092,0.9301310043668122,0.9293070058857035,0.01693110524695058,573
SSRP1,0.8044444444444444,0.7733333333333333,0.7511111111111111,0.7688888888888888,0.7767857142857143,0.7749126984126984,0.017210046167586278,562
BCR,0.7377777777777778,0.7511111111111111,0.7767857142857143,0.7857142857142857,0.7633928571428571,0.7629563492063492,0.017225769512522922,561
PSMD6,0.8243243243243243,0.8108108108108109,0.7387387387387387,0.8288288288288288,0.8468468468468469,0.80990990990991,0.03740637746311116,555
PMPCB,0.8243243243243243,0.7647058823529411,0.8190045248868778,0.832579185520362,0.7918552036199095,0.806493824140883,0.024961617487154312,553
MED19,0.9174311926605505,0.908256880733945,0.8807339449541285,0.9124423963133641,0.8709677419354839,0.8979664313194944,0.01854837815285306,544
ORC1,0.6367924528301887,0.6462264150943396,0.6650943396226415,0.5613207547169812,0.6556603773584906,0.6330188679245283,0.03706959000828018,530
TSR2,0.9,0.861244019138756,0.9043062200956937,0.9234449760765551,0.8755980861244019,0.8929186602870814,0.02197709274405155,523
MED10,0.8357487922705314,0.8067632850241546,0.8737864077669902,0.7912621359223301,0.7961165048543689,0.8207354251676751,0.030691349475188718,516
SON,0.7184466019417476,0.6941747572815534,0.7087378640776699,0.7233009708737864,0.6893203883495146,0.7067961165048544,0.013240953103869758,515
NUP98,0.5980392156862745,0.6862745098039216,0.6617647058823529,0.6715686274509803,0.7156862745098039,0.6666666666666666,0.0388462995218803,510
NRDE2,0.8564356435643564,0.8316831683168316,0.8366336633663366,0.7910447761194029,0.7810945273631841,0.8193783557460224,0.028603635727053538,504
