idx,gene
0,RPL3
1,GAB2
2,CPSF3
3,CHMP6
4,RRM2
5,MED12
6,BCR
7,PSMD6
8,PMPCB
9,MED19
10,ORC1
11,MED10
12,NUP98
13,NRDE2
14,NUF2
15,SF3B2
16,PCF11
17,TIMM23B
18,ARGLU1
19,RPS12
20,RPA1
21,LSM6
22,RPL24
23,MZT1
24,ATP6V1B2
25,HSPA5
26,ZMAT2
27,PSMC2
28,GPS1
29,ICE1
30,RPS19
31,HSPA9
32,PHB2
33,PHAX
34,POLR2A
35,BUB3
36,SUPT5H
37,PSMB7
38,RARS
39,RPS29
40,SNRPG
41,QARS
42,RPAP2
43,FAM32A
44,PSMA4
45,RPL11
46,RPL37A
47,RPL37
48,SF3B3
49,EIF3A
50,SLC7A5
51,PSMD7
52,PSMA3
53,EIF4G1
54,EIF3H
55,NAA38
56,KPNB1
57,CDC27
58,RPL30
59,WDR3
60,TPX2
61,EIF4E
62,LSM2
63,INTS2
64,NACA
65,PSMD4
66,GNL2
67,CDK1
68,OXA1L
69,RPL4
70,COG2
71,EIF4G2
72,SMC4
73,RPL13
74,POLR2F
75,BDP1
76,CCNK
77,RIOK1
78,EIF2B4
79,INTS8
80,SF3A2
81,VPS54
82,EEF2
83,EIF2B2
84,LTV1
85,NUP107
86,PSMC1
87,RPS15A
88,WBP11
89,RPL18
90,SIN3A
91,SART1
92,SFPQ
93,SLC25A10
94,RPL7
95,DYNC1I2
96,AATF
97,CHEK1
98,RPL31
99,DDX41
100,DYNC1H1
101,NUP54
102,NUP160
103,HARS
104,SUPT6H
105,MED30
106,MED22
107,UBA1
108,KAT8
109,DDX24
110,WDR36
111,CENPJ
112,IGBP1
113,POLR2D
114,NIP7
115,GUCD1
116,GOLT1B
117,GPN3
118,RPS3
119,RPS9
120,RPL10
121,RPS20
122,PRELID3B
123,RPL6
124,MED7
125,PSMB5
126,DHX36
127,SNRPB
128,PRPF18
129,RPS11
130,PTCD1
131,PMF1
132,RPS7
133,DNTTIP2
134,RPL21
