,ptb,mmd,braycurtis,canberra,chebyshev,cityblock,correlation,cosine,euclidean,jensenshannon,minkowski_p1.5,sqeuclidean,mode
0,CCT4,0.2224217653274536,1.0296616388640707,371.37061068859623,5.149619,547.0641,1.0311872903257608,1.0316551141440868,30.739351272583008,inf,78.12542122982516,944.9077,train
1,COPS8,0.1993744671344757,0.9409600051283993,363.99765319630643,4.439793,527.83215,0.9367864429950714,0.9376347064971924,29.522993087768555,inf,75.18140629721758,871.6071,train
2,CNOT3,0.24131451547145844,1.0297294277084659,378.82560951249957,4.1053367,558.1521,1.0239710379391909,1.0231831818819046,31.010271072387695,inf,79.18633352590983,961.6369,train
3,COPS6,0.20265927910804749,0.9971136487354015,373.44974938778904,4.8627367,539.8436,0.9973462638445199,0.9984688586555421,30.083707809448242,inf,76.73247637827872,905.0294,train
4,MAGOH,0.20328465104103088,0.959295404355362,368.7351095234692,4.654643,543.49585,0.9783954881131649,0.9788638390600681,29.879497528076172,inf,76.64907337356925,892.7843,train
5,CENPJ,0.21549974381923676,1.0449314992034182,375.65283738541615,4.7645416,552.1334,1.0495401322841644,1.0480053387582302,30.90610694885254,inf,78.62124763928462,955.1874,train
6,FTSJ3,0.22536662220954895,1.0386561207561584,377.8065080607741,4.0228634,559.952,1.0336106084287167,1.0331076867878437,31.047487258911133,inf,79.37512906852353,963.9465,train
7,TUBGCP2,0.19943004846572876,0.9822887476948426,366.6897948106641,4.4563036,554.98315,0.9923284971155226,0.9920716043561697,31.114490509033203,inf,79.12879055508024,968.1116,train
8,POLRMT,0.23227596282958984,1.017472552225513,372.7804091867838,4.134844,570.01196,1.033661838620901,1.0346252843737602,31.50896644592285,inf,80.69999874089032,992.81494,train
9,POLD1,0.25694024562835693,0.9736460310478999,369.99040761550043,4.119225,552.75525,0.9611880332231522,0.9606882706284523,30.371257781982422,inf,77.97627334900483,922.41327,train
10,GUCD1,0.21122917532920837,0.991764138122151,368.2384279511109,4.4268436,557.8434,0.985222845338285,0.9853896126151085,30.976608276367188,inf,79.1414699160794,959.5503,train
11,NCBP2,0.2276400923728943,0.9705215533733146,371.08405347227193,4.506886,563.54346,0.9768801927566528,0.9774475730955601,31.032997131347656,inf,79.40636082916124,963.04694,train
12,RPL32,0.22745712101459503,0.9979555848143573,370.4580097063393,4.938842,559.2683,1.001390251563862,1.0014898319495842,31.30793571472168,inf,79.75201653822522,980.18677,train
13,ICE1,0.21554553508758545,1.0254150657461387,378.1118018729468,4.6744685,569.1009,1.0151689033955336,1.0151364598423243,31.329641342163086,inf,80.28370597054068,981.5464,train
14,EIF3E,0.24235296249389648,0.9941723251654121,370.6556363038329,4.318935,550.9014,0.9824943970888853,0.9814801346510649,30.220109939575195,inf,77.57574260835969,913.2551,train
15,BCR,0.2116778939962387,1.0099297816014792,372.91603913675726,4.431614,549.4648,1.001352907042019,1.0016795562114567,30.528709411621094,inf,78.00945165309737,932.0021,train
