,ptb,mmd,braycurtis,canberra,chebyshev,cityblock,correlation,cosine,euclidean,jensenshannon,minkowski_p1.5,sqeuclidean,mode
0,DYNC1I2,0.1949683278799057,0.04009920978356492,49.09320873779685,0.78007627,2.5642924,0.08335673809051514,0.0833861231803894,0.7865918278694153,inf,0.8750939430861111,0.61872673,train
1,DDX41,0.26206374168395996,0.053179625372820095,56.8338449796865,1.2370743,3.366439,0.2084943652153015,0.20833468437194824,1.2427642345428467,inf,1.3350392546102265,1.5444632,train
2,ACTR8,0.213851660490036,0.045248753465735814,50.51963458467064,0.84147656,2.8903816,0.09779959917068481,0.09783685207366943,0.8497672080993652,inf,0.9556334343022462,0.72210425,train
3,TRRAP,0.24870705604553223,0.05346114627240559,59.66023876006248,1.0620425,3.4045827,0.15581363439559937,0.15572762489318848,1.0699779987335205,inf,1.182757742739576,1.1448526,train
4,RPL13,0.2100811004638672,0.037425140377924736,48.30715530362413,0.55728334,2.405511,0.04189193248748779,0.04195195436477661,0.5665397047996521,inf,0.6708963936433096,0.32096726,train
5,VPS54,0.19173884391784668,0.03883050146560194,50.56874266453206,0.52162385,2.4948096,0.03688311576843262,0.03689920902252197,0.5330333709716797,inf,0.6510180882114817,0.28412452,train
6,POLR2A,0.21386250853538513,0.052371790345335185,55.91507361597388,1.2748368,3.3207743,0.21953094005584717,0.21940702199935913,1.2799063920974731,inf,1.3658307879445104,1.6381603,train
7,CNOT1,0.3593452274799347,0.04494414388359121,54.740911709715675,0.932313,2.8641825,0.1200900673866272,0.12010031938552856,0.9395725727081299,inf,1.033059802671504,0.88279665,train
8,RPS7,0.27589717507362366,0.045004695969040664,56.41376913570276,0.8093449,2.8754,0.09030836820602417,0.09029453992843628,0.8173946738243103,inf,0.9225832154836003,0.66813403,train
9,SLC25A10,0.19960272312164307,0.036084689489246355,48.381508666711355,0.56649685,2.31646,0.04321444034576416,0.04327458143234253,0.575169563293457,inf,0.6735191794968953,0.33082002,train
10,RPS9,0.2371021956205368,0.040031532743008906,48.45597668046379,0.69680876,2.5667567,0.06632113456726074,0.06634581089019775,0.7048766613006592,inf,0.8040442718021626,0.49685112,train
11,EEF2,0.21161235868930817,0.036794070654668026,49.82829132815428,0.3862143,2.369074,0.020146310329437256,0.02026122808456421,0.4015651345252991,inf,0.5326476853525339,0.16125457,train
12,UXT,0.2226678431034088,0.04867144633490564,55.46510913196039,0.9411464,3.1067262,0.12253463268280029,0.12246477603912354,0.9488435387611389,inf,1.055336354000646,0.900304,train
13,BCAS2,0.217476949095726,0.04454643429382851,51.081903796560034,0.9305237,2.841871,0.11936956644058228,0.11941331624984741,0.9365459680557251,inf,1.0256568605275718,0.87711823,train
14,MZT1,0.2028878927230835,0.0412945656751807,59.213520130584456,0.30771774,2.6567369,0.013707876205444336,0.013729393482208252,0.3340199291706085,inf,0.5084296183035175,0.11156933,train
15,BAP1,0.22095604240894318,0.03902833008036155,56.40342787619763,0.20901197,2.5154119,0.007379353046417236,0.0073773860931396484,0.2455635815858841,inf,0.43203326855359575,0.060301475,train
16,UBL5,0.23649099469184875,0.049115449697991136,53.812370018617784,1.1516657,3.1254325,0.1814945936203003,0.1813957691192627,1.1569364070892334,inf,1.2422598905173183,1.3385017,train
17,ABCF1,0.198199063539505,0.03635905542792443,46.896840294220524,0.4245477,2.3356652,0.024994611740112305,0.025087833404541016,0.44418203830718994,inf,0.5723928299861601,0.19729768,train
18,MAGOH,0.20595794916152954,0.03998711527048098,50.91209011291423,0.66687804,2.5641153,0.06066882610321045,0.06069058179855347,0.6754346489906311,inf,0.7781892968942946,0.45621207,train
19,ZMAT2,0.20586790144443512,0.04674326854644222,53.26499350963367,0.7958499,2.983059,0.08749282360076904,0.08753836154937744,0.8051751255989075,inf,0.9203952208538545,0.6483071,train
20,NACA,0.2522509694099426,0.05592829910268366,51.45310372755629,1.4289451,3.539257,0.2701503038406372,0.26989156007766724,1.4338666200637817,inf,1.5194536312359148,2.0559733,train
21,INTS9,0.26551270484924316,0.05414430030816338,54.39577349268677,1.4456322,3.4288924,0.2749611735343933,0.27466315031051636,1.4496827125549316,inf,1.5260385664169696,2.10158,train
22,DNAJC19,0.2464839518070221,0.05252930926899377,50.904388404791504,1.4262917,3.32643,0.2683635950088501,0.26807451248168945,1.4302631616592407,inf,1.5042593663223969,2.0456524,train
23,SUPT5H,0.4553676247596741,0.06674736497284761,54.602207155007974,2.2941806,4.2708387,0.5464676022529602,0.5453479290008545,2.296830892562866,inf,2.3592487359316188,5.2754326,train
24,PELO,0.19467315077781677,0.05506413664735254,67.95887808296416,0.82929975,3.5075898,0.09617286920547485,0.0960921049118042,0.8423427939414978,inf,0.9917912673629623,0.7095414,train
25,SLU7,0.28037166595458984,0.0600031746084168,53.537144658240805,1.6249502,3.7991138,0.3355039954185486,0.33505696058273315,1.6294679641723633,inf,1.7136815865659878,2.6551664,train
26,PAF1,0.37692344188690186,0.0589028485054229,48.78809130164811,1.8497484,3.7517078,0.4083285331726074,0.4076594114303589,1.8528157472610474,inf,1.9180663924536259,3.432926,train
27,EIF3M,0.2182263284921646,0.041945201543973125,53.78308043147067,0.7265315,2.6849906,0.07226824760437012,0.07230257987976074,0.7345349788665771,inf,0.8364659372869293,0.5395417,train
28,RPL37A,0.24631541967391968,0.04542533892355375,58.7166022269495,0.60413086,2.912603,0.05010032653808594,0.05017971992492676,0.6174187660217285,inf,0.7553087439300994,0.38120595,train
29,RPL10,0.21135744452476501,0.038508030198331246,49.69625993652184,0.65016687,2.4679937,0.057436227798461914,0.05745643377304077,0.6580390334129333,inf,0.7548044816724707,0.43301538,train
30,DHX36,0.2108408510684967,0.04146146268760949,50.20030509713303,0.8165313,2.6482348,0.09153079986572266,0.09151715040206909,0.8226959705352783,inf,0.9109607266407147,0.6768287,train
31,RPL26,0.2557608485221863,0.04037460778224149,48.261173028925455,0.6892237,2.5889835,0.06486594676971436,0.06487220525741577,0.6974688172340393,inf,0.7987134838232918,0.48646265,train
32,RPL21,0.23749156296253204,0.03722175143113716,49.98739164611628,0.5234389,2.3927765,0.03713703155517578,0.037267982959747314,0.5352611541748047,inf,0.6479144936720271,0.28650448,train
33,CNOT3,0.24961598217487335,0.04362737217761133,49.88766054638841,0.9740251,2.7818284,0.1305701732635498,0.13054192066192627,0.9792532920837402,inf,1.0602718048998785,0.958937,train
34,DNTTIP2,0.2564467191696167,0.05614869238570643,69.54074847780555,0.5954436,3.578735,0.05025690793991089,0.05028718709945679,0.6188180446624756,inf,0.8172210174641297,0.3829358,train
35,MBTPS2,0.19024042785167694,0.033723747311562816,49.16773682929627,0.23643458,2.1703694,0.008565902709960938,0.008746922016143799,0.2671109735965729,inf,0.4176560072832308,0.07134829,train
36,MCM10,0.2289212942123413,0.0382362899314492,52.90103090249581,0.6037255,2.4507067,0.04931747913360596,0.049361228942871094,0.6122838854789734,inf,0.7133891155946712,0.37489152,train
37,PSMC2,0.2308807373046875,0.04994127622595857,49.30683938928651,1.3373992,3.1701088,0.23906928300857544,0.23885983228683472,1.3413758277893066,inf,1.4137007551190177,1.7992892,train
38,RPL30,0.2546512186527252,0.03939891194410033,50.27370438057305,0.6610844,2.5261679,0.059437572956085205,0.05948448181152344,0.6690948009490967,inf,0.7683341733607432,0.44768783,train
39,RPL7,0.26159951090812683,0.04238935790025501,51.165011541817925,0.7034541,2.711955,0.06778484582901001,0.0678134560585022,0.712381899356842,inf,0.8208960139578821,0.50748795,train
40,KPNB1,0.22738902270793915,0.04730441347039729,53.486948688281934,0.8909714,3.015508,0.10977262258529663,0.10978096723556519,0.8987976312637329,inf,1.0046418723592905,0.80783707,train
41,MRPS35,0.1967078298330307,0.04173021593132953,56.67259472816125,0.35992697,2.6757026,0.018169045448303223,0.01821976900100708,0.3835568130016327,inf,0.549522974884025,0.14711584,train
42,RPL36,0.27708935737609863,0.036242752045059154,48.319382995376316,0.4364677,2.332258,0.025573015213012695,0.025727689266204834,0.4491761326789856,inf,0.5685275803425972,0.20175916,train
43,CENPJ,0.23902320861816406,0.0402680844396721,51.229549415594434,0.7174373,2.581387,0.07033610343933105,0.0703660249710083,0.7249930500984192,inf,0.8214648360993825,0.5256149,train
44,PSMD12,0.21073472499847412,0.05448155328069211,59.33415449146184,1.225626,3.4584143,0.20474159717559814,0.20455116033554077,1.2321083545684814,inf,1.331974447181466,1.518091,train
45,CHEK1,0.1978113353252411,0.04817956870490334,59.4765272152282,0.799882,3.075808,0.08854818344116211,0.08861923217773438,0.8098294734954834,inf,0.9314962064794198,0.6558238,train
46,NDC80,0.2089196741580963,0.04668439260073002,49.552091321502274,1.1008595,2.974249,0.16596567630767822,0.165871262550354,1.1057473421096802,inf,1.1862375175670374,1.2226772,train
47,RPL8,0.26006555557250977,0.04310414390033085,55.04893776992,0.7357286,2.7525122,0.07427191734313965,0.07427835464477539,0.7441343069076538,inf,0.8499104549547702,0.5537358,train
48,RRP12,0.24632695317268372,0.04747578303735791,58.234985769259836,0.7503258,3.0340996,0.07787591218948364,0.07786422967910767,0.7611086964607239,inf,0.8868906581186894,0.57928646,train
49,COPS8,0.19676007330417633,0.044290571774793626,53.661847633989055,0.77975327,2.8287795,0.08373486995697021,0.08375221490859985,0.7881864905357361,inf,0.8952161702837047,0.621238,train
50,GTF2H1,0.23858536779880524,0.04985289789614132,48.964756007051335,1.3006,3.1624942,0.22764307260513306,0.22744452953338623,1.3048222064971924,inf,1.3798756717537692,1.7025609,train
51,PIAS4,0.21435292065143585,0.04568912655541578,51.18247310426913,0.82096815,2.9160242,0.09304356575012207,0.093048095703125,0.8290938138961792,inf,0.9355546489711792,0.6873966,train
52,SON,0.23459328711032867,0.049450092454273974,48.61019693232289,1.2001978,3.135696,0.19630670547485352,0.19620513916015625,1.2050355672836304,inf,1.2864395325335447,1.4521108,train
53,RPS15A,0.2711740732192993,0.04327730685615401,53.61122460003233,0.6860293,2.7737563,0.06456488370895386,0.06459325551986694,0.6959624290466309,inf,0.8112473557739603,0.4843637,train
54,EIF3A,0.24464598298072815,0.05621092905447221,72.49416881892509,0.74186856,3.581263,0.07740360498428345,0.07733863592147827,0.7586830258369446,inf,0.9295214728379605,0.57559985,train
55,TEFM,0.2035389393568039,0.03887630640659223,50.007109175448754,0.555192,2.4961116,0.0417826771736145,0.041788339614868164,0.5656638145446777,inf,0.6784049360372483,0.31997555,train
56,RBMX2,0.23895293474197388,0.0500105058455455,53.29588336163499,1.2225618,3.1761112,0.20330816507339478,0.20313555002212524,1.2274539470672607,inf,1.309648706744113,1.5066429,train
57,RPLP2,0.2131858766078949,0.035763352573190965,47.38514829290273,0.41629627,2.3056946,0.02343195676803589,0.023472130298614502,0.4294795095920563,inf,0.5504593032839199,0.18445265,train
58,GFM1,0.2004905641078949,0.04885783009237024,63.93571141848372,0.4414898,3.135034,0.027781367301940918,0.027759671211242676,0.46668386459350586,inf,0.6559432795679224,0.21779385,train
59,SSRP1,0.24781358242034912,0.05092677803613564,52.01236148506433,1.4018679,3.2270072,0.2600255012512207,0.2597522735595703,1.4055302143096924,inf,1.47520210804643,1.9755151,train
60,POLA1,0.2083965241909027,0.03842549552743881,49.14736717865742,0.5805868,2.469643,0.04564422369003296,0.045680224895477295,0.5899223685264587,inf,0.6958134829009868,0.34800836,train
61,ATP6V1B2,0.20300404727458954,0.04687162838302952,55.941113362702495,0.8544072,2.9893131,0.10097038745880127,0.10093814134597778,0.8626821637153625,inf,0.9711478244747249,0.7442205,train
62,RPL12,0.2250502109527588,0.04807978087700729,48.00476793240591,1.1277608,3.0646176,0.17420488595962524,0.1741352677345276,1.1331857442855835,inf,1.2187901357997248,1.2841101,train
63,PMPCB,0.23529207706451416,0.0522807848892886,55.410669470750406,1.1451523,3.3119283,0.18057340383529663,0.18044722080230713,1.1514028310775757,inf,1.2484574506704296,1.3257287,train
64,RUVBL1,0.27221131324768066,0.05852541424425337,54.35719190057894,1.6819224,3.711554,0.3539741039276123,0.35344570875167847,1.6856567859649658,inf,1.7601488524631632,2.8414395,train
