,ptb,mmd,braycurtis,canberra,chebyshev,cityblock,correlation,cosine,euclidean,jensenshannon,minkowski_p1.5,sqeuclidean,mode
0,RAD51,0.21392223238945007,0.033550502587087194,44.80806200484214,0.08926594,2.3664565,0.0030441880226135254,0.0032172203063964844,0.16185161471366882,inf,0.36397862096131206,0.026195943,train
1,SFPQ,0.3132396340370178,0.10092971753176246,62.32538724160817,1.351466,7.15353,0.2673986554145813,0.2675384283065796,1.5794678926467896,inf,2.1523401160713678,2.4947188,train
2,ABCE1,0.21485641598701477,0.07399336273894125,56.55993811536304,0.911574,5.181923,0.13787811994552612,0.13794147968292236,1.0677664279937744,inf,1.4754935951433834,1.140125,train
3,RPS28,0.2381817102432251,0.046302826215999654,45.479173051887756,0.4494225,3.2566192,0.03601163625717163,0.03605246543884277,0.5358814001083374,inf,0.7865774831825411,0.28716892,train
4,LSM5,0.1934196650981903,0.04181736778171488,46.63964395512697,0.28259322,2.9482684,0.015228509902954102,0.015254199504852295,0.3502407371997833,inf,0.5781425273840911,0.12266858,train
5,SF3B3,0.2000546157360077,0.07805710001940017,55.00310384838996,0.9964086,5.4869366,0.1613045334815979,0.16134345531463623,1.1651535034179688,inf,1.5988544939249134,1.3575824,train
6,LSM6,0.27105122804641724,0.08944058906311578,63.92117757205445,1.1475891,6.303831,0.20513391494750977,0.20519793033599854,1.3401821851730347,inf,1.8362030985042246,1.7960883,train
7,RPS20,0.22019602358341217,0.054834935733527386,50.364533632003756,0.5134032,3.8508089,0.04748314619064331,0.047499239444732666,0.6147550344467163,inf,0.9099959981876925,0.37792376,train
8,BAP1,0.21905308961868286,0.03636335812957099,49.32646566085094,0.02438292,2.563746,0.002498447895050049,0.0024979710578918457,0.14270487427711487,inf,0.36416046639513117,0.02036468,train
9,WDR12,0.22755129635334015,0.04001621239511431,43.41113765898692,0.2856588,2.818304,0.015233278274536133,0.015246927738189697,0.35037291049957275,inf,0.5664251068500266,0.122761175,train
10,RPL8,0.26738741993904114,0.05578688994313338,50.241035309862085,0.57973874,3.9172165,0.058766305446624756,0.058804094791412354,0.6844844818115234,inf,0.9848822941539159,0.46851897,train
