,ptb,mmd,braycurtis,canberra,chebyshev,cityblock,correlation,cosine,euclidean,jensenshannon,minkowski_p1.5,sqeuclidean,mode
0,CHMP6,0.202209010720253,0.9671555055265223,356.94620137842344,4.256685,547.01636,0.9770953021943569,0.9769033882766962,30.902420043945312,inf,78.42875854824248,954.9596,train
1,NACA,0.2597845792770386,0.9191456258124905,342.31854491630327,4.296099,546.63574,0.9394915290176868,0.9391401037573814,30.832874298095703,inf,78.36693931847068,950.66614,train
2,EIF4E,0.2214202880859375,1.0069213817605664,371.11376282364927,4.7781935,584.73145,1.0024442218709737,1.002068899339065,32.10237121582031,inf,82.38021374382538,1030.5621,train
3,RPL3,0.19166985154151917,0.9329462926124453,355.4842431572822,4.7242293,556.5352,0.9458729103207588,0.9457948282361031,30.908227920532227,inf,78.9736147723988,955.3185,train
4,SNAPC3,0.19702860713005066,0.9130183093393092,361.33350285404777,3.9642656,564.2748,0.9101928174495697,0.9106849506497383,31.172731399536133,inf,79.93044404799839,971.7392,train
5,SFPQ,0.26421481370925903,0.991494103401179,369.13072155404984,4.0351834,554.3987,0.9652814045548439,0.9650318622589111,30.604372024536133,inf,78.38037875648207,936.62756,train
6,RCC1,0.1912861168384552,1.0094633699167046,370.1675294598891,4.363253,573.4233,1.0139828464016318,1.0138484695926309,31.89093780517578,inf,81.36928067391884,1017.032,train
7,SLC25A10,0.19789338111877441,0.9630802115356982,362.98555701205566,4.403182,557.1975,0.9353523328900337,0.9350240454077721,30.744478225708008,inf,78.77528946294075,945.2229,train
8,PSMC2,0.2186342477798462,1.0513125648598924,367.99865893313006,3.920784,584.4978,1.0383808761835098,1.0379371494054794,32.2513427734375,inf,82.7190157907845,1040.1492,train
9,DDX41,0.26895472407341003,1.1017872070366475,378.64888384761286,4.3737283,624.7505,1.0947189927101135,1.0945946723222733,34.2307014465332,inf,88.05018801799446,1171.7408,train
10,BDP1,0.20082758367061615,0.9987410181436236,372.0912706857945,4.272792,569.45593,0.9847108842805028,0.9845247119665146,31.0795841217041,inf,80.02916704736035,965.94055,train
11,PSMC1,0.27742111682891846,0.9631138145732494,368.01107094644897,4.1952744,585.6891,0.9732662308961153,0.973371472209692,32.09764099121094,inf,82.39950334593102,1030.2588,train
12,CSE1L,0.2830648720264435,0.9522557955717624,357.31500492653913,3.9399037,546.61487,0.9380192533135414,0.9379776567220688,29.92241096496582,inf,76.96436338544295,895.3507,train
13,DSN1,0.22952893376350403,1.0102650179641692,367.18615283929853,4.038098,585.5996,0.9981371641624719,0.998106591636315,32.07162857055664,inf,82.60854966688473,1028.5894,train
14,LSM5,0.19442756474018097,1.0153278166433033,365.5782401886332,5.269719,573.80945,1.0272306185215712,1.0273715816438198,32.00840759277344,inf,81.61382877996263,1024.5381,train
15,WDR3,0.234127938747406,0.957245771538341,360.3667161035413,4.407263,554.19604,0.9612290188670158,0.9609778113663197,30.637454986572266,inf,78.45426589468354,938.6537,train
16,EIF2B5,0.23948310315608978,1.007926767016102,368.3892707859859,4.431316,593.45386,1.0003320388495922,1.0012693564640358,32.18091583251953,inf,83.17428466336003,1035.6115,train
17,RPL5,0.22317446768283844,1.0461482044760273,373.6489795216013,5.1001997,578.76294,1.0437958426773548,1.0438759848475456,31.87085723876953,inf,81.68232159932919,1015.7516,train
18,SF3B4,0.21862375736236572,1.1034215787264283,378.98564486581955,4.7741485,599.5283,1.0796196460723877,1.0793887600302696,33.002628326416016,inf,84.76084986115602,1089.1733,train
19,IGBP1,0.20038250088691711,0.9595532291350686,363.80224933362524,4.421402,583.1873,0.974497290328145,0.9745113756507635,32.01839065551758,inf,82.1945091712844,1025.1774,train
20,GFM1,0.19668468832969666,0.9418653367999136,360.96517290578134,5.43827,568.09875,0.9396125972270966,0.9394506812095642,31.456632614135742,inf,80.43996691927266,989.51965,train
21,NELFCD,0.2093195766210556,0.9852103409830183,366.6105917466268,5.2926273,561.9702,0.993998549412936,0.9937348631210625,31.462337493896484,inf,80.01144070595247,989.87866,train
22,POLA1,0.20352903008460999,1.0053423099454915,366.9648115154838,5.300949,581.77484,1.0046449857763946,1.0049852463416755,32.24663162231445,inf,82.55500635408751,1039.8452,train
23,SF3A2,0.21850159764289856,0.9400187005287134,356.5495944198171,4.481557,558.9483,0.9609894827008247,0.9610325656831264,31.121784210205078,inf,79.32407823754258,968.5653,train
24,CEP192,0.19292116165161133,0.9419239670839243,356.44471410792346,4.474741,553.9413,0.940126221626997,0.9402941316366196,30.89439582824707,inf,78.76429540225277,954.4637,train
25,NSRP1,0.22887450456619263,1.0959075078574363,380.0447537229339,4.854781,600.5463,1.061507474631071,1.061699040234089,32.79773712158203,inf,84.3105041710877,1075.6917,train
26,POLR2E,0.19206954538822174,1.056025009780466,372.0954003786485,4.2668786,618.8243,1.0557455457746983,1.0556975044310093,34.256690979003906,inf,87.7086079873994,1173.5209,train
27,RPL18,0.25584691762924194,0.9748093116445387,359.5647325654243,4.568731,576.1469,0.9759129006415606,0.9760291483253241,32.17125701904297,inf,82.03255075584748,1034.9897,train
