PTBs,Nontargeting,GEARS,Causal,Conditional,Full,RandAvg
RPL23,0.04334285855293274,0.08091825246810913,0.01840496063232422,0.02907043695449829,0.0821954756975174,0.042391374707221985
SLU7,0.14212378859519958,0.18119776248931885,0.09492936730384827,0.06467339396476746,0.11667323112487793,0.0937076061964035
NAA38,0.0643070787191391,0.0650576502084732,0.015134751796722412,0.03322875499725342,0.04685443639755249,0.03567460924386978
RBM14,0.011736422777175903,0.03845188021659851,0.02843347191810608,0.057691752910614014,0.055594414472579956,0.04896121472120285
SUPT5H,0.12565939128398895,0.0898524820804596,0.07693593204021454,0.035097330808639526,0.049541205167770386,0.05483081936836243
U2SURP,0.06523874402046204,0.01347091794013977,-0.002772003412246704,0.07496345043182373,0.06451159715652466,0.05391839146614075
QARS,0.05532407760620117,0.038886770606040955,0.07057659327983856,0.002335876226425171,0.056602537631988525,0.058078497648239136
MAGOH,-0.07200467586517334,0.00860738754272461,0.0035747885704040527,0.07713910937309265,0.029858440160751343,0.016641467809677124
FCF1,0.04567450284957886,0.029196828603744507,0.009553313255310059,0.011378973722457886,0.038207292556762695,0.10882295668125153
RPS29,0.026369407773017883,0.01915477216243744,0.02355736494064331,0.048638418316841125,-0.0046361833810806274,0.030263103544712067
NACA,0.036362424492836,0.09246234595775604,0.00402793288230896,0.036446020007133484,-0.0027703046798706055,0.023439429700374603
RPL7,0.029487639665603638,0.06557577848434448,0.037039488554000854,0.018242299556732178,0.02567151188850403,0.016181781888008118
RPL26,0.07709217071533203,0.004960775375366211,0.03766244649887085,-0.013320475816726685,-0.026318252086639404,0.04503283649682999
SLC7A5,0.04663802683353424,0.04492157697677612,0.01030479371547699,0.029090434312820435,0.01460924744606018,0.028313592076301575
POLR2F,-0.018593311309814453,0.05553394556045532,0.04273037612438202,0.0407896488904953,0.022821635007858276,0.025295011699199677
COPS8,0.07419320940971375,0.03833833336830139,0.0029352009296417236,-0.013906002044677734,0.04881930351257324,0.06717674434185028
TEFM,-0.027181684970855713,0.044309020042419434,0.004789948463439941,0.018191814422607422,0.012234270572662354,0.027876973152160645
POLR1E,0.09004151821136475,0.06207972764968872,0.027936577796936035,0.03404587507247925,0.04954448342323303,0.020953506231307983
MRPS35,-0.021749287843704224,0.03277668356895447,0.017401188611984253,0.0014317035675048828,-0.00391659140586853,0.05215911567211151
RPL37A,0.053227499127388,0.03385341167449951,0.006771773099899292,0.0305100679397583,0.013657674193382263,0.0581066869199276
DDX41,0.11186429858207703,0.03698092699050903,0.08257293701171875,0.0817706286907196,0.09484153985977173,0.14140518009662628
RPL8,0.03772890567779541,0.013094410300254822,0.03921319544315338,0.059181809425354004,0.01261228322982788,0.05925705283880234
SF3B4,0.032858431339263916,0.00519976019859314,-0.0016582310199737549,0.00011804699897766113,0.029736846685409546,0.06617869436740875
WDR36,0.029278725385665894,0.04103189706802368,0.013891279697418213,0.015222877264022827,0.04614144563674927,0.017900586128234863
GFM1,0.018143534660339355,0.03575769066810608,0.03065025806427002,0.001502394676208496,0.008402317762374878,0.08235112577676773
SFPQ,0.05454564094543457,0.08189025521278381,0.11093586683273315,0.03309395909309387,0.056951433420181274,0.033750444650650024
RPL3,0.013428648312886557,0.015154113372166952,0.019490689039230347,0.021427370607852936,0.018838254113992054,0.04261832435925801
COPS4,0.088259756565094,0.027825862169265747,0.06236124038696289,-0.004028737545013428,0.05781111121177673,0.043826475739479065
POLR2D,0.04023665189743042,0.036256372928619385,-0.027002155780792236,0.06552636623382568,-0.0069481730461120605,0.037603944540023804
EIF2B5,0.06950908899307251,0.0809822678565979,-0.0011543333530426025,0.0587204247713089,0.03786611557006836,0.052326835691928864
YTHDC1,0.040842145681381226,0.04120948910713196,0.03907540440559387,0.08424350619316101,0.0006677508354187012,0.056611835956573486
BCAS2,0.043129026889801025,0.08835119009017944,-0.0033856630325317383,0.0600297749042511,0.07470765709877014,0.04660247266292572
TRRAP,0.06853798031806946,0.027321219444274902,0.0347590446472168,0.028277993202209473,0.025543972849845886,0.05300728976726532
RFC3,0.021395891904830933,0.04452815651893616,0.006530940532684326,0.06950795650482178,0.041342467069625854,0.05483099818229675
PRPF4B,-0.02377048134803772,0.0032234787940979004,0.014014065265655518,0.008264154195785522,0.044386446475982666,0.032724469900131226
CHMP6,0.036182294289271034,0.010551671187082926,0.027908553679784138,0.03994626800219218,0.023790756861368816,0.04642389714717865
LTV1,0.03306429088115692,0.06348630785942078,0.04812803864479065,0.014909088611602783,0.044115856289863586,0.03947970271110535
CCT4,0.04796692728996277,0.07639342546463013,0.0033975541591644287,-0.015878111124038696,0.04516500234603882,0.021155834197998047
PRPF6,0.03927311301231384,0.028346627950668335,0.054282546043395996,0.04202643036842346,0.0272311270236969,0.0479336678981781
ISCA2,-0.007265925407409668,0.0937325656414032,0.06448131799697876,0.011459559202194214,0.03830277919769287,0.04964825510978699
PMPCB,0.042823215325673424,0.06650079290072124,0.06321504712104797,0.040232678254445396,0.0459465483824412,0.03330222765604655
OXA1L,0.07593466341495514,0.06722097098827362,0.061840325593948364,0.026294216513633728,0.025673583149909973,0.04822968691587448
EIF4G1,0.03627999126911163,0.0016205161809921265,0.008093014359474182,0.04707631468772888,0.009207770228385925,0.041326627135276794
CDC27,-0.011250317096710205,0.0459156334400177,0.022287890315055847,0.05158811807632446,0.033383578062057495,0.043161533772945404
CASP8AP2,0.04769498109817505,0.07436811923980713,0.005545556545257568,0.07277557253837585,0.032642900943756104,0.03959837555885315
ARGLU1,0.0443763534228007,0.024491796890894573,0.006676902373631795,-0.015814205010732014,0.014793584744135538,0.04062997798124949
RPS24,0.07988226413726807,0.07477143406867981,0.029834985733032227,0.005436122417449951,0.014109522104263306,0.04263634979724884
NUP160,0.04653838276863098,0.01189202070236206,0.06186574697494507,0.0057825446128845215,0.0288219153881073,0.03153081238269806
PSMC4,0.04264137148857117,0.013225585222244263,0.05275788903236389,-0.0018289685249328613,0.03686949610710144,0.10657913982868195
EIF2B4,0.0681338757276535,0.05699285864830017,0.006313130259513855,0.01122349500656128,0.03617502748966217,0.054647475481033325
EXOSC2,0.07312420010566711,-0.005457550287246704,0.06250625848770142,0.04882705211639404,0.016211748123168945,0.03864887356758118
VPS54,0.015201538801193237,0.012217804789543152,0.020745515823364258,0.017154380679130554,0.04528455436229706,0.028050050139427185
NELFCD,-0.02471330761909485,-0.0037041008472442627,0.049472272396087646,0.022207647562026978,0.01768466830253601,0.032107770442962646
MZT1,0.0678698718547821,0.009425461292266846,0.0251082181930542,0.011726632714271545,0.008726224303245544,0.0309317484498024
XPO1,0.0029197335243225098,0.07217618823051453,0.0216846764087677,0.014579325914382935,0.010328024625778198,0.057041049003601074
USP39,0.05914336442947388,0.08622801303863525,0.02462989091873169,0.015239089727401733,0.005370765924453735,0.07718269526958466
GNL2,0.03112909197807312,0.03780186176300049,0.022695302963256836,0.008219361305236816,0.04680721461772919,0.04810293763875961
ACTR8,0.06394898891448975,0.07363387942314148,0.045413196086883545,0.021893590688705444,0.01872539520263672,0.06923934072256088
PHB2,0.11654777824878693,0.07207053899765015,0.09067240357398987,0.027483075857162476,0.07562549412250519,0.0973314568400383
RPS3,0.050929516553878784,0.05257651209831238,0.039674460887908936,0.009390294551849365,0.012536883354187012,0.04458434879779816
ABCF1,0.038556888699531555,0.01294146478176117,0.007584616541862488,-0.0008559226989746094,0.017177119851112366,0.06618491560220718
BCR,0.055188616116841636,0.05130686362584432,0.03853439291318258,0.050436198711395264,0.03856313228607178,0.04167850812276205
RPS11,0.04808422923088074,0.0645621120929718,0.11442244052886963,0.027456820011138916,0.040175408124923706,0.05131082236766815
PHAX,0.026788070797920227,0.039965271949768066,0.03929483890533447,-0.0053023844957351685,0.04428727924823761,0.03205917775630951
SIN3A,0.00641101598739624,0.09418356418609619,0.010473936796188354,0.05250099301338196,0.037394553422927856,0.05638326704502106
GFER,-0.020548373460769653,0.05533260107040405,0.024901390075683594,0.022707968950271606,0.03914502263069153,0.042320698499679565
RPL6,0.026754319667816162,0.10726144909858704,0.005060791969299316,0.00791063904762268,-0.008948087692260742,0.06860782206058502
SRRT,0.023268789052963257,0.060675472021102905,0.10280510783195496,-0.024482131004333496,0.03965851664543152,0.0876825600862503
MED6,0.04345080256462097,0.04303652048110962,0.026098936796188354,0.01276850700378418,-0.008968859910964966,0.015571951866149902
LSM5,0.06672772765159607,-0.003256857395172119,-0.03132152557373047,0.03545913100242615,0.030718296766281128,0.06826230883598328
RPL36,0.027685075998306274,0.036111533641815186,-0.0031496286392211914,-0.022390276193618774,0.034348517656326294,0.07153917849063873
PSMD7,0.025190621614456177,0.048504218459129333,-0.009127587080001831,0.036231592297554016,0.08022207021713257,0.03548009693622589
CHEK1,0.01709580421447754,0.014165371656417847,0.03148466348648071,0.014103710651397705,-0.020118385553359985,0.06194908916950226
SKP2,0.0013715624809265137,0.038676679134368896,0.006244748830795288,0.014279067516326904,0.0068010687828063965,0.05822575092315674
ABCE1,0.05706125497817993,0.03656351566314697,0.04182702302932739,0.012098103761672974,0.06127429008483887,0.02854335308074951
ANKRD11,0.05748075246810913,0.05513611435890198,0.04602450132369995,0.04484212398529053,-0.01434364914894104,0.0326426699757576
DHX37,-0.0018458962440490723,0.13519752025604248,0.1133219301700592,0.01011243462562561,0.018500030040740967,0.038089320063591
RPL14,0.10925382375717163,0.10582506656646729,0.010254502296447754,0.01868322491645813,0.07782536745071411,0.03494344651699066
DNTTIP2,0.09522026777267456,-0.0015867948532104492,0.027835071086883545,0.02954179048538208,0.005852788686752319,0.033408671617507935
PRPF18,0.041433125734329224,0.12101113796234131,0.10885924100875854,0.02866026759147644,0.07144233584403992,0.03381073474884033
NCBP2,0.06066088378429413,0.02670850356419881,0.03789788484573364,0.04060616592566172,0.06790825724601746,0.0362121934692065
UBL5,0.11936792731285095,0.06204870343208313,0.008016914129257202,0.05425524711608887,0.0027584433555603027,0.03844662010669708
LSM2,0.04918162524700165,0.04376767575740814,0.035876184701919556,0.0789412409067154,0.04696089029312134,0.06933364272117615
POLA1,-0.004499852657318115,0.010655254125595093,-0.028713136911392212,0.014472126960754395,-0.019950538873672485,0.03294438123703003
CNOT1,0.039517611265182495,0.07353994250297546,0.05047041177749634,0.00930321216583252,0.032891660928726196,0.018829748034477234
RPL27A,0.03020918369293213,0.01397937536239624,0.041953206062316895,-0.0070677101612091064,0.07189187407493591,0.08956442028284073
NDC80,0.03692653775215149,0.0361403226852417,0.023225098848342896,0.042537540197372437,0.04601079225540161,0.06365439295768738
SON,0.027910898129145306,0.034943987925847374,0.05587626496950785,0.06913435459136963,0.03937034805615743,0.04898251096407572
POLR2A,0.07491199672222137,0.01706121861934662,0.03531643748283386,0.03426317870616913,-0.0008525699377059937,0.021223343908786774
RPL34,0.017772480845451355,0.054551780223846436,0.027095884084701538,0.06838932633399963,0.03909584879875183,0.07638958841562271
INTS9,0.055540531873703,0.07829475402832031,0.008313089609146118,0.025199204683303833,0.039318084716796875,0.04343312978744507
RPA3,0.04468816518783569,-0.02099701762199402,0.08837798237800598,-0.006799042224884033,0.05793169140815735,0.01910725235939026
GPS1,0.03910006582736969,0.03596927225589752,-0.001513659954071045,0.008438453078269958,0.008757933974266052,0.03414379805326462
DDX24,0.06753236055374146,0.062214046716690063,0.06453081965446472,0.02564293146133423,-0.003842592239379883,0.05385620892047882
RPL13,0.020924463868141174,0.03540560603141785,-0.005972743034362793,0.004213199019432068,0.0037953704595565796,0.017488867044448853
YEATS4,0.05364617705345154,0.012756705284118652,0.02089563012123108,0.0691487193107605,0.011761397123336792,0.05116046220064163
GUCD1,0.0839148759841919,0.06152695417404175,0.020087897777557373,0.01276165246963501,0.029786884784698486,0.05786865949630737
UXT,0.0066554248332977295,0.06642693281173706,0.0419062077999115,0.05639323592185974,0.04069375991821289,0.02013404667377472
PAF1,0.093533456325531,0.1671009361743927,0.0812247097492218,0.05479958653450012,0.07134127616882324,0.059826940298080444
HSPA5,0.07773728668689728,0.09983903169631958,0.032777100801467896,0.045032426714897156,0.05820254981517792,0.05684017390012741
RPL19,0.02709794044494629,0.01396527886390686,0.09578999876976013,0.025098741054534912,-0.029488056898117065,0.07258079200983047
DYNC1I2,0.017653673887252808,0.0411737859249115,0.04912370443344116,-0.003644585609436035,0.004216670989990234,0.01312507688999176
SDAD1,0.012718260288238525,0.02600798010826111,0.010220438241958618,0.014080837368965149,-0.0032178163528442383,0.03637278079986572
DSN1,0.02041187882423401,-0.009374827146530151,0.0005244612693786621,0.10546591877937317,0.06033948063850403,0.04762379825115204
CENPJ,0.026226043701171875,0.0367167592048645,0.015351206064224243,0.03974580764770508,0.019487887620925903,0.02464623749256134
PSMA3,0.06576715409755707,0.016480326652526855,0.03126394748687744,0.024006664752960205,0.08893319964408875,0.03978700935840607
RPS28,0.0957089364528656,0.06232154369354248,0.021563470363616943,0.022241175174713135,0.04151648283004761,0.042926251888275146
MED19,0.07200103004773457,0.03838693102200826,0.021303315957387287,0.04883340994517008,0.03102552890777588,0.016341378291447956
RPS17,0.027596354484558105,0.03773897886276245,0.05935770273208618,-0.015075534582138062,0.0215303897857666,0.057629719376564026
TIMM23B,0.05875083804130554,0.07377255956331889,0.048260122537612915,0.047600497802098594,0.027814159790674847,0.07205532987912497
RPS19,0.026593610644340515,0.06887060403823853,0.03098653256893158,0.03329451382160187,0.03214949369430542,0.0333118662238121
HARS,0.08598428964614868,0.09751313924789429,0.08821842074394226,0.041899174451828,0.0569150447845459,0.06462304294109344
KAT8,0.05537271499633789,0.015419751405715942,0.0487997829914093,0.02176511287689209,0.04263615608215332,0.04082958400249481
WDR3,0.046472445130348206,0.020403310656547546,0.050636857748031616,0.04203082621097565,0.004931837320327759,0.027707479894161224
NUP54,0.015269547700881958,0.03105291724205017,-0.01136597990989685,0.02006205916404724,0.051423072814941406,0.04347793757915497
CPSF3,0.024637371301651,0.027991851170857746,0.06062327822049459,0.012564371029535929,0.01979770263036092,0.03719318409760793
PSMA4,0.06984210014343262,0.013223633170127869,0.027836456894874573,0.02702125906944275,0.049150288105010986,0.0838594064116478
PTCD1,0.05093175172805786,0.01051640510559082,0.05348789691925049,0.024730682373046875,0.024820148944854736,0.054255321621894836
PSMD12,0.033226579427719116,-0.015923231840133667,0.03034946322441101,-0.0052249133586883545,0.017286032438278198,0.04627242684364319
RARS,0.0558079332113266,0.02427060902118683,0.08125907182693481,-0.000774577260017395,0.02633044123649597,0.05625203251838684
RPL12,-0.025345712900161743,-0.010709017515182495,0.04026642441749573,0.10809943079948425,0.019587308168411255,0.04928942024707794
EIF4G2,0.037449344992637634,0.03832589089870453,0.04310041666030884,0.006773039698600769,0.0171499103307724,0.018341846764087677
POLD1,0.03781363368034363,-0.0038742423057556152,0.01130819320678711,0.013670817017555237,0.01881180703639984,0.02753245085477829
RPL10A,0.19041669368743896,0.12447026371955872,0.18496790528297424,0.1539493203163147,0.23686689138412476,0.1518520563840866
COPZ1,-0.003608524799346924,0.06467530131340027,0.03942686319351196,-0.0027774274349212646,0.02699342370033264,0.01927545666694641
SLC39A9,0.005153581500053406,0.025583676993846893,0.019585534930229187,0.022526301443576813,0.023227207362651825,0.03588136285543442
RPS7,0.06308844685554504,0.06521257758140564,0.05518212914466858,0.02782464027404785,0.01551198959350586,0.05595549941062927
EEF2,0.013583004474639893,0.04199281334877014,0.037523165345191956,-0.013245224952697754,0.05395032465457916,0.036032043397426605
RPL30,0.01879093050956726,0.03292614221572876,0.02819894254207611,0.0018865764141082764,0.03840695321559906,0.04168199002742767
NUF2,0.007504870494206746,0.027704934279123943,0.051618983348210655,0.02241341272989909,0.022407889366149902,0.0249013751745224
DNAJC19,0.047516465187072754,0.07171072065830231,0.030301302671432495,0.06603218615055084,0.057791367173194885,0.0412478968501091
WBP11,0.045835018157958984,0.031895577907562256,0.032018572092056274,0.009511739015579224,0.07987383008003235,0.05849525332450867
MRPL14,0.01404622197151184,0.04178899526596069,0.030111312866210938,0.05485150218009949,0.06610962748527527,0.02024690806865692
SNRPG,0.05385357141494751,0.022997379302978516,0.06459282338619232,-0.018520325422286987,0.03756006062030792,0.034733518958091736
NRDE2,0.03407368063926697,0.07580677668253581,0.01730203628540039,0.05458355943361918,0.01689683397610982,0.050604308644930526
RPAP2,0.06497256457805634,0.02644430100917816,0.0008068829774856567,0.06137344241142273,0.08941623568534851,0.026615604758262634
