PTBs,Nontargeting,GEARS,Causal,Conditional,Full,RandAvg
NLE1,0.44,0.44,0.48,0.32,0.44,0.49
DYNC1I2,0.4,0.5,0.46,0.3,0.48,0.4
HSPA8,0.46,0.44,0.36,0.32,0.4,0.34
TRRAP,0.44,0.44,0.44,0.4,0.36,0.45
MED11,0.46,0.5,0.38,0.4,0.34,0.35
FCF1,0.48,0.48,0.48,0.32,0.38,0.53
EIF2B2,0.52,0.56,0.38,0.38,0.44,0.47
SNRPG,0.56,0.38,0.38,0.28,0.38,0.41000000000000003
GUCD1,0.4,0.44,0.48,0.5,0.56,0.43000000000000005
MED7,0.42,0.48,0.38,0.32,0.34,0.22
DDX46,0.48,0.5,0.46,0.48,0.48,0.38
LSM5,0.44,0.48,0.38,0.48,0.46,0.45999999999999996
TRA2B,0.34,0.52,0.46,0.6,0.48,0.4
SON,0.52,0.44,0.46,0.42,0.5,0.4
UBL5,0.34,0.52,0.34,0.44,0.42,0.38
RPL6,0.5,0.62,0.26,0.3,0.3,0.38
RPL21,0.5,0.36,0.36,0.42,0.34,0.39
DHX37,0.46,0.52,0.44,0.4,0.4,0.45999999999999996
MED30,0.5,0.36,0.36,0.32,0.32,0.35
DLD,0.46,0.32,0.44,0.56,0.46,0.44
WDR26,0.44,0.42,0.68,0.36,0.42,0.43000000000000005
RPL37,0.44,0.42,0.4,0.44,0.38,0.44
PRPF18,0.42,0.38,0.62,0.42,0.46,0.35
MED12,0.44,0.46,0.3,0.32,0.36,0.33
USP39,0.46,0.52,0.48,0.42,0.48,0.51
NUP54,0.38,0.48,0.38,0.4,0.36,0.39
EIF3M,0.48,0.48,0.5,0.5,0.36,0.41000000000000003
TRMT112,0.42,0.56,0.4,0.56,0.48,0.39
RPL8,0.46,0.5,0.32,0.24,0.38,0.37
RPL4,0.46,0.44,0.34,0.34,0.38,0.36
CCT3,0.46,0.46,0.4,0.38,0.46,0.33999999999999997
RPL14,0.5,0.6,0.34,0.38,0.42,0.45
NUP107,0.4,0.38,0.44,0.4,0.36,0.28
PSMD4,0.48,0.46,0.38,0.32,0.46,0.28
SF3A2,0.48,0.42,0.34,0.46,0.4,0.33999999999999997
PTCD1,0.36,0.42,0.52,0.42,0.44,0.47
SDAD1,0.48,0.56,0.44,0.54,0.48,0.58
YEATS4,0.54,0.44,0.44,0.58,0.52,0.41000000000000003
RPL7,0.38,0.56,0.34,0.24,0.3,0.35
RPA2,0.54,0.54,0.46,0.46,0.48,0.5700000000000001
PRPF6,0.46,0.48,0.52,0.46,0.52,0.44
GPN3,0.42,0.38,0.32,0.3,0.42,0.33
NUF2,0.5,0.3,0.42,0.36,0.38,0.36
ACTR8,0.48,0.46,0.52,0.48,0.46,0.44
SLC39A9,0.42,0.44,0.36,0.38,0.3,0.5
TPX2,0.44,0.42,0.44,0.52,0.42,0.33999999999999997
KAT8,0.4,0.42,0.44,0.52,0.46,0.37
RPL19,0.54,0.56,0.48,0.4,0.32,0.41000000000000003
NUP98,0.38,0.5,0.5,0.4,0.36,0.30000000000000004
SLU7,0.38,0.34,0.34,0.4,0.54,0.34
EIF3A,0.46,0.56,0.46,0.56,0.4,0.45
MAK16,0.48,0.48,0.42,0.54,0.52,0.51
PSMB6,0.42,0.52,0.38,0.46,0.46,0.43
EIF3H,0.42,0.34,0.56,0.4,0.48,0.42000000000000004
KPNB1,0.38,0.48,0.4,0.44,0.58,0.43
QARS,0.44,0.52,0.4,0.3,0.32,0.26
NAA38,0.4,0.42,0.32,0.44,0.4,0.38
NSRP1,0.44,0.5,0.34,0.42,0.34,0.33999999999999997
RPL23,0.5,0.46,0.34,0.28,0.26,0.27
NIP7,0.4,0.46,0.42,0.54,0.44,0.47000000000000003
RPS19,0.52,0.46,0.3,0.4,0.2,0.38
TIMM23B,0.5,0.46,0.4,0.32,0.42,0.39
PSMC4,0.38,0.22,0.46,0.42,0.42,0.43
RBM14,0.54,0.42,0.42,0.38,0.3,0.44
PRELID3B,0.48,0.4,0.46,0.28,0.36,0.41000000000000003
CCNK,0.48,0.46,0.48,0.36,0.5,0.45999999999999996
CCDC86,0.34,0.58,0.46,0.5,0.48,0.45
SNAPC3,0.52,0.48,0.46,0.4,0.56,0.46
RPS28,0.46,0.58,0.32,0.3,0.32,0.44999999999999996
DHX15,0.5,0.44,0.38,0.3,0.48,0.28
GFM1,0.6,0.38,0.34,0.54,0.48,0.49
MED1,0.44,0.32,0.42,0.42,0.36,0.26
SNRPB,0.44,0.5,0.48,0.3,0.48,0.42000000000000004
NCBP2,0.42,0.48,0.34,0.38,0.34,0.29000000000000004
RPS24,0.46,0.46,0.42,0.5,0.42,0.39
CASP8AP2,0.54,0.5,0.44,0.48,0.44,0.42000000000000004
CEP192,0.54,0.44,0.6,0.5,0.56,0.32
UXT,0.4,0.38,0.4,0.48,0.56,0.4
RPL27A,0.5,0.48,0.5,0.38,0.38,0.41000000000000003
U2SURP,0.44,0.5,0.44,0.5,0.38,0.29000000000000004
EIF2S1,0.5,0.36,0.42,0.42,0.32,0.39
PSMB5,0.46,0.52,0.42,0.48,0.5,0.44999999999999996
MRPL14,0.56,0.38,0.54,0.5,0.52,0.43000000000000005
