PTBs,Nontargeting,GEARS,Causal,Conditional,Full,RandAvg
RPL23,0.473198645334579,0.49550391218031065,0.6968352213009459,0.6953170617774145,0.6975359103118066,0.664019619292304
SLU7,0.5130211374518276,0.551559033049165,0.6194090856008408,0.5896298026392619,0.6056288683872475,0.6038771458600958
NAA38,0.5014597687726264,0.5738642998948966,0.6028261123438048,0.6098330024524116,0.6305033282728015,0.6410136634357118
RBM14,0.5063645918486511,0.538129160341002,0.5357935303047997,0.5307719257269649,0.5445521429405582,0.5477052434894312
SUPT5H,0.5115029779282961,0.5867102650940091,0.7274319747751956,0.7009225738642999,0.6950834987737943,0.7059441784421348
U2SURP,0.510335162910195,0.5420997314025459,0.544318579936938,0.5229475651056873,0.5828564755342753,0.5973373817587294
QARS,0.5075324068667523,0.5368445638210907,0.6356417143524465,0.6591147962162793,0.6653042158122153,0.6709097278991007
MAGOH,0.4828915099848184,0.5164078010043209,0.5292537662034333,0.5279691696835221,0.5388298493518626,0.5506831717855891
FCF1,0.4707462337965666,0.4960878196893612,0.5903304916501226,0.5981548522714002,0.5840242905523765,0.5612518976994044
RPS29,0.47973840943594537,0.4912997781151466,0.590680836155553,0.5613686792012146,0.5604344271867336,0.5796449842344973
NACA,0.4950367861730702,0.52586710265094,0.6219782786406634,0.6160224220483476,0.6322550507999533,0.5989723227840711
RPL7,0.4792712834287049,0.482424383977578,0.5997897932967418,0.6281676982365993,0.5823893495270349,0.616606329557398
RPL26,0.4863949550391218,0.5028611467943478,0.6076141539180194,0.6273502277239286,0.6028261123438048,0.6020086418311339
SLC7A5,0.5110358519210557,0.5875277356066799,0.573280392385846,0.5785355599673012,0.5959360037370081,0.6321966600490483
POLR2F,0.4889641480789443,0.5284362956907626,0.6134532290085251,0.5962863482424384,0.6291019502510802,0.6142706995211958
COPS8,0.5022772392852972,0.557748452645101,0.5795865934835922,0.5534275370781269,0.5360270933084199,0.5872357818521545
