PTBs,Nontargeting,GEARS,Causal,Conditional,Full,RandAvg
NLE1,0.52,0.56,0.52,0.68,0.56,0.51
DYNC1I2,0.56,0.5,0.54,0.7,0.52,0.6
HSPA8,0.5,0.56,0.64,0.68,0.6,0.66
TRRAP,0.52,0.56,0.56,0.6,0.64,0.55
MED11,0.5,0.5,0.62,0.6,0.66,0.65
FCF1,0.48,0.52,0.52,0.68,0.62,0.47000000000000003
EIF2B2,0.44,0.44,0.62,0.62,0.56,0.53
SNRPG,0.4,0.62,0.62,0.72,0.62,0.59
GUCD1,0.56,0.56,0.52,0.5,0.44,0.5700000000000001
MED7,0.54,0.52,0.62,0.68,0.66,0.78
DDX46,0.48,0.5,0.54,0.52,0.52,0.62
LSM5,0.52,0.52,0.62,0.52,0.54,0.54
TRA2B,0.62,0.48,0.54,0.4,0.52,0.6
SON,0.44,0.56,0.54,0.58,0.5,0.6
UBL5,0.62,0.48,0.66,0.56,0.58,0.62
RPL6,0.46,0.38,0.74,0.7,0.7,0.6200000000000001
RPL21,0.46,0.64,0.64,0.58,0.66,0.6100000000000001
DHX37,0.5,0.48,0.56,0.6,0.6,0.54
MED30,0.46,0.64,0.64,0.68,0.68,0.65
DLD,0.5,0.68,0.56,0.44,0.54,0.56
WDR26,0.52,0.58,0.32,0.64,0.58,0.5700000000000001
RPL37,0.52,0.58,0.6,0.56,0.62,0.56
PRPF18,0.54,0.62,0.38,0.58,0.54,0.65
MED12,0.52,0.54,0.7,0.68,0.64,0.67
USP39,0.5,0.48,0.52,0.58,0.52,0.49
NUP54,0.58,0.52,0.62,0.6,0.64,0.61
EIF3M,0.48,0.52,0.5,0.5,0.64,0.59
TRMT112,0.54,0.44,0.6,0.44,0.52,0.61
RPL8,0.5,0.5,0.68,0.76,0.62,0.63
RPL4,0.5,0.56,0.66,0.66,0.62,0.64
CCT3,0.5,0.54,0.6,0.62,0.54,0.6599999999999999
RPL14,0.46,0.4,0.66,0.62,0.58,0.55
NUP107,0.56,0.62,0.56,0.6,0.64,0.72
PSMD4,0.48,0.54,0.62,0.68,0.54,0.72
SF3A2,0.48,0.58,0.66,0.54,0.6,0.6599999999999999
PTCD1,0.6,0.58,0.48,0.58,0.56,0.53
SDAD1,0.48,0.44,0.56,0.46,0.52,0.42
YEATS4,0.42,0.56,0.56,0.42,0.48,0.59
RPL7,0.58,0.44,0.66,0.76,0.7,0.65
RPA2,0.42,0.46,0.54,0.54,0.52,0.43
PRPF6,0.5,0.52,0.48,0.54,0.48,0.56
GPN3,0.54,0.62,0.68,0.7,0.58,0.67
NUF2,0.46,0.7,0.58,0.64,0.62,0.64
ACTR8,0.48,0.54,0.48,0.52,0.54,0.56
SLC39A9,0.54,0.56,0.64,0.62,0.7,0.5
TPX2,0.52,0.58,0.56,0.48,0.58,0.66
KAT8,0.56,0.58,0.56,0.48,0.54,0.63
RPL19,0.42,0.44,0.52,0.6,0.68,0.5900000000000001
NUP98,0.58,0.5,0.5,0.6,0.64,0.7
SLU7,0.58,0.66,0.66,0.6,0.46,0.6599999999999999
EIF3A,0.5,0.44,0.54,0.44,0.6,0.55
MAK16,0.48,0.52,0.58,0.46,0.48,0.49
PSMB6,0.54,0.48,0.62,0.54,0.54,0.5700000000000001
EIF3H,0.54,0.66,0.44,0.6,0.52,0.5800000000000001
KPNB1,0.58,0.52,0.6,0.56,0.42,0.5700000000000001
QARS,0.52,0.48,0.6,0.7,0.68,0.74
NAA38,0.56,0.58,0.68,0.56,0.6,0.6200000000000001
NSRP1,0.52,0.5,0.66,0.58,0.66,0.6599999999999999
RPL23,0.46,0.54,0.66,0.72,0.74,0.73
NIP7,0.56,0.54,0.58,0.46,0.56,0.53
RPS19,0.44,0.54,0.7,0.6,0.8,0.6200000000000001
TIMM23B,0.46,0.54,0.6,0.68,0.58,0.61
PSMC4,0.58,0.78,0.54,0.58,0.58,0.5700000000000001
RBM14,0.42,0.58,0.58,0.62,0.7,0.56
PRELID3B,0.48,0.6,0.54,0.72,0.64,0.5900000000000001
CCNK,0.48,0.54,0.52,0.64,0.5,0.54
CCDC86,0.62,0.42,0.54,0.5,0.52,0.55
SNAPC3,0.44,0.52,0.54,0.6,0.44,0.54
RPS28,0.5,0.42,0.68,0.7,0.68,0.55
DHX15,0.46,0.56,0.62,0.7,0.52,0.72
GFM1,0.36,0.62,0.66,0.46,0.52,0.51
MED1,0.52,0.68,0.58,0.58,0.64,0.74
SNRPB,0.52,0.5,0.52,0.7,0.52,0.5800000000000001
NCBP2,0.54,0.52,0.66,0.62,0.66,0.71
RPS24,0.5,0.54,0.58,0.5,0.58,0.61
CASP8AP2,0.42,0.5,0.56,0.52,0.56,0.5800000000000001
CEP192,0.42,0.56,0.4,0.5,0.44,0.6799999999999999
UXT,0.56,0.62,0.6,0.52,0.44,0.6
RPL27A,0.46,0.52,0.5,0.62,0.62,0.5900000000000001
U2SURP,0.52,0.5,0.56,0.5,0.62,0.71
EIF2S1,0.46,0.64,0.58,0.58,0.68,0.61
PSMB5,0.5,0.48,0.58,0.52,0.5,0.55
MRPL14,0.4,0.62,0.46,0.5,0.48,0.5700000000000001
SKP2,0.5,0.64,0.4,0.52,0.58,0.45999999999999996
RPL5,0.52,0.5,0.54,0.56,0.5,0.51
MED6,0.52,0.68,0.68,0.66,0.58,0.66
RPS7,0.56,0.62,0.56,0.52,0.62,0.5800000000000001
