PTBs,Nontargeting,GEARS,Causal,Conditional,Full,RandAvg
RPL23,0.28134308755397797,0.2944291979074478,0.21472036838531494,0.21128108352422714,0.22024961560964584,0.2683277651667595
SLU7,0.348601758480072,0.347851037979126,0.26972559094429016,0.29533910751342773,0.2818774878978729,0.33535127341747284
NAA38,0.2817050814628601,0.26737644523382187,0.25122733414173126,0.2562539428472519,0.24012818932533264,0.28464439511299133
RBM14,0.24788302183151245,0.23947212100028992,0.24374912679195404,0.23546189069747925,0.2400699257850647,0.2962123602628708
SUPT5H,0.4315941780805588,0.41119062900543213,0.25344084203243256,0.2548055201768875,0.24881280958652496,0.33236754685640335
U2SURP,0.2574564516544342,0.24333757162094116,0.2403792440891266,0.2387865036725998,0.22556832432746887,0.25796543806791306
QARS,0.2796226292848587,0.2826668620109558,0.2183115854859352,0.21779683232307434,0.23232266306877136,0.2518937736749649
MAGOH,0.22262945771217346,0.2201995849609375,0.2153744399547577,0.2194245159626007,0.21213838458061218,0.276251882314682
FCF1,0.23477411270141602,0.24077972769737244,0.20537760853767395,0.21879228949546814,0.2146146595478058,0.2890543043613434
RPS29,0.2108752727508545,0.21177354454994202,0.19960929453372955,0.2059161514043808,0.20679374784231186,0.2661950923502445
NACA,0.2778816521167755,0.27761244773864746,0.23359837383031845,0.23030898720026016,0.2315148264169693,0.2727110758423805
RPL7,0.233820378780365,0.24987748265266418,0.2023136466741562,0.19345057010650635,0.20784378051757812,0.24326317012310028
RPL26,0.25249066948890686,0.25790804624557495,0.22442616522312164,0.20175284147262573,0.21294771134853363,0.2607679218053818
SLC7A5,0.20455940812826157,0.20486363768577576,0.2045167088508606,0.2111666351556778,0.21200592070817947,0.25911687687039375
POLR2F,0.24947085976600647,0.2510787695646286,0.2259555086493492,0.22057591378688812,0.2118173986673355,0.2835827097296715
COPS8,0.20704998075962067,0.20458590984344482,0.21831315755844116,0.19705891609191895,0.21263206005096436,0.2744090110063553
TEFM,0.21339264512062073,0.207123801112175,0.21687576174736023,0.2345135360956192,0.2169087827205658,0.30176374316215515
POLR1E,0.20620150864124298,0.19949299097061157,0.2073950171470642,0.21328133344650269,0.20583944022655487,0.28565944731235504
MRPS35,0.20806026458740234,0.20052236318588257,0.2011873573064804,0.21276402473449707,0.2112182378768921,0.29939207434654236
RPL37A,0.24403279274702072,0.24511317163705826,0.20827915519475937,0.2033744528889656,0.21188561618328094,0.25304442271590233
DDX41,0.3707314729690552,0.33699357509613037,0.312778115272522,0.31043922901153564,0.29491516947746277,0.3229091465473175
RPL8,0.24513384699821472,0.24170474708080292,0.2230944260954857,0.20727287232875824,0.23583970963954926,0.2618461400270462
SF3B4,0.246945321559906,0.23650553822517395,0.22129295766353607,0.24695955216884613,0.23408570885658264,0.24628512561321259
WDR36,0.22153645753860474,0.2387402504682541,0.20996367931365967,0.22084343433380127,0.21860449016094208,0.2992565631866455
GFM1,0.2121722400188446,0.20268170535564423,0.21183384954929352,0.2042652666568756,0.1975945383310318,0.2496056854724884
SFPQ,0.29428213834762573,0.277549147605896,0.2243872731924057,0.2421463131904602,0.2317994236946106,0.2624674588441849
RPL3,0.19986842200160027,0.1980543943742911,0.19992320239543915,0.199935312072436,0.19946091125408807,0.2719901266197363
