PTBs,Nontargeting,GEARS,Causal,Conditional,Full,RandAvg
RPL23,0.017336719,0.017296817,0.007516697,0.0068074814,0.0068993554,0.010757243260741234
SLU7,0.039768003,0.035616267,0.028719658,0.032842442,0.030345863,0.030854877084493637
NAA38,0.018217716,0.014994945,0.012382199,0.011482754,0.010749046,0.014775274321436882
RBM14,0.012246055,0.011570299,0.015056827,0.013584585,0.014151453,0.019568338990211487
SUPT5H,0.038049173,0.03139957,0.015184306,0.014943614,0.017863045,0.01553167961537838
U2SURP,0.014338868,0.012380379,0.015682776,0.01611507,0.013557222,0.016291137784719467
QARS,0.016989782,0.015628029,0.010167282,0.009524777,0.011129022,0.011089908890426159
MAGOH,0.011261412,0.01140863,0.012508685,0.012614691,0.011840957,0.017593275755643845
FCF1,0.013245004,0.0128009,0.010863652,0.01222816,0.012286617,0.018434099853038788
RPS29,0.0073770587,0.0080140075,0.0056244796,0.0067935367,0.006089351,0.011524083092808723
NACA,0.01580736,0.014939569,0.010888721,0.010974184,0.011443669,0.012684410437941551
RPL7,0.01227523,0.0128111085,0.0106709665,0.009703553,0.01167053,0.013992035761475563
RPL26,0.015824342,0.015566958,0.012124847,0.010584078,0.0121710915,0.01653571054339409
SLC7A5,0.006950646,0.005494547,0.0066046678,0.0069748214,0.006618246,0.010213324800133705
POLR2F,0.0122442525,0.012453868,0.008409618,0.009688538,0.008424848,0.011192044243216515
COPS8,0.00930488,0.007845014,0.011353302,0.009690406,0.011631154,0.016773991286754608
TEFM,0.009866796,0.009619453,0.0128529025,0.01263219,0.012539822,0.020491156727075577
POLR1E,0.010436068,0.00943642,0.011407496,0.011085966,0.010569572,0.017328336834907532
MRPS35,0.009286298,0.008572922,0.009708824,0.011835845,0.011271188,0.01994158700108528
RPL37A,0.010711549,0.011573176,0.006706904,0.0059525175,0.007312361,0.010746506974101067
DDX41,0.024412427,0.019699274,0.027052827,0.026344988,0.02354254,0.024752415716648102
RPL8,0.012560458,0.01186708,0.009001962,0.0066394703,0.0104098935,0.010085757821798325
SF3B4,0.018548932,0.013758562,0.014533625,0.015308099,0.01466748,0.014922051690518856
WDR36,0.010456731,0.011860196,0.011328101,0.012295483,0.012494624,0.019808169454336166
GFM1,0.009027444,0.007717414,0.012191243,0.011443805,0.010287956,0.014036564156413078
SFPQ,0.027384127,0.02181683,0.01928951,0.02333216,0.020719867,0.018550708889961243
RPL3,0.0016436146,0.0011064137,0.0011675647,0.0012737836,0.0010672839,0.008374074473977089
COPS4,0.011641033,0.009381694,0.012445616,0.012435702,0.011802743,0.017091140151023865
POLR2D,0.008434425,0.0072289263,0.0119758155,0.010556929,0.009560494,0.015795955434441566
EIF2B5,0.016300218,0.013784475,0.0105340425,0.010195324,0.009348983,0.011903928592801094
YTHDC1,0.00931855,0.00929813,0.011779894,0.011216571,0.013092319,0.017879940569400787
