PTBs,Nontargeting,GEARS,Causal,Conditional,Full,RandAvg
RPL23,0.020533811,0.021833949,0.0070482027,0.0082000615,0.0070628827,0.01438757311552763
SLU7,0.039963067,0.030984258,0.032458857,0.03449305,0.034963705,0.036215659230947495
NAA38,0.012151386,0.012414382,0.0075553274,0.010338199,0.009086047,0.016537092626094818
RBM14,0.014532299,0.012658734,0.024402976,0.015650414,0.020982776,0.026945365592837334
SUPT5H,0.050043955,0.03575804,0.024658278,0.02022815,0.022251794,0.01570771634578705
U2SURP,0.022008844,0.020990672,0.023384366,0.019083781,0.013464788,0.025941818952560425
QARS,0.025856983,0.021720335,0.021824494,0.0137260035,0.017903794,0.019966430962085724
MAGOH,0.010360095,0.014305255,0.008881592,0.020301135,0.00972306,0.02364768460392952
FCF1,0.016240602,0.019633412,0.012930103,0.009709689,0.008533778,0.019955508410930634
RPS29,0.008326001,0.00931587,0.005834892,0.0050443397,0.005753338,0.013177001848816872
NACA,0.015386003,0.014147213,0.012235722,0.010820832,0.013986911,0.016113843768835068
RPL7,0.016171044,0.015332332,0.010262749,0.007846835,0.010312579,0.018022701144218445
RPL26,0.020308672,0.019027065,0.01566627,0.010072827,0.01255661,0.018686877563595772
SLC7A5,0.00859119,0.0074885557,0.0098194145,0.006200515,0.008016953,0.01510474644601345
POLR2F,0.017589398,0.016115913,0.008868525,0.01120805,0.012352501,0.009500402957201004
COPS8,0.017159332,0.013492089,0.015634358,0.012558531,0.009371315,0.02082705870270729
TEFM,0.010244174,0.0076005985,0.009665967,0.013423253,0.009641006,0.021872784942388535
POLR1E,0.013259385,0.009387923,0.012947603,0.011184668,0.013125146,0.01290452666580677
MRPS35,0.0067377086,0.009070941,0.008452678,0.012226862,0.011386582,0.02503344602882862
RPL37A,0.00886746,0.009557056,0.0059310608,0.0036159214,0.0058983564,0.011588478460907936
DDX41,0.032679785,0.030054219,0.032514583,0.031841215,0.039640345,0.04405609145760536
RPL8,0.014576926,0.014338312,0.0064564426,0.0067151557,0.0079537565,0.01476924680173397
SF3B4,0.013263803,0.011814456,0.013682888,0.015948461,0.014352369,0.015475645661354065
WDR36,0.015820447,0.014626834,0.014665709,0.021552509,0.016821055,0.016340166330337524
GFM1,0.009123626,0.009480192,0.012944187,0.014475622,0.011844729,0.026145484298467636
SFPQ,0.032716595,0.018436123,0.01719861,0.022641055,0.01878627,0.02597341313958168
RPL3,0.0020904224,0.0011031606,0.0019913185,0.0012681925,0.0009851303,0.011670133098959923
COPS4,0.01735174,0.0071596,0.01178373,0.01155152,0.01229832,0.01879289746284485
POLR2D,0.012352762,0.010701435,0.011574507,0.011306906,0.012382551,0.016937876120209694
EIF2B5,0.020865876,0.017158648,0.017134255,0.011504073,0.013568304,0.019431423395872116
YTHDC1,0.017357107,0.012259833,0.0127579225,0.0123363985,0.017412454,0.016598952934145927
BCAS2,0.015227322,0.017604487,0.024924314,0.01894347,0.0193335,0.03297314792871475
TRRAP,0.018246006,0.014901432,0.012618092,0.0134206535,0.020634167,0.016573946923017502
RFC3,0.010747168,0.010034148,0.009621429,0.010269254,0.011542992,0.02321058325469494
PRPF4B,0.010686014,0.008090412,0.010801499,0.00993289,0.008919891,0.019380731508135796
CHMP6,0.012215147,0.008497089,0.0072971927,0.008827831,0.004673228,0.010450035333633423
LTV1,0.012007028,0.013757135,0.009996048,0.010571918,0.009019693,0.01978687196969986
CCT4,0.014501754,0.012826652,0.012089566,0.01126884,0.020083752,0.020329810678958893
PRPF6,0.015661007,0.0107408175,0.01685957,0.013105494,0.016448906,0.015733083710074425
ISCA2,0.0063017732,0.0057577547,0.01056527,0.014508277,0.012482864,0.02165725640952587
PMPCB,0.01687402,0.0141625665,0.01247341,0.008569148,0.00904862,0.014723370783030987
OXA1L,0.014159901,0.013199262,0.00809804,0.009803006,0.0075589507,0.021293893456459045
EIF4G1,0.012478457,0.0085212765,0.008455213,0.0070483936,0.008184421,0.021978555247187614
CDC27,0.004834826,0.0055376496,0.005454315,0.0069446857,0.0054739327,0.01795976795256138
CASP8AP2,0.020074997,0.021293113,0.023482768,0.027643567,0.023055527,0.022463854402303696
ARGLU1,0.004374597,0.0059918826,0.004698725,0.004491333,0.0042995242,0.014960123226046562
RPS24,0.022487136,0.025574371,0.01521641,0.02174301,0.016000913,0.02193601429462433
NUP160,0.009354664,0.006529582,0.01035363,0.0091571165,0.012041647,0.015758894383907318
PSMC4,0.012960923,0.0076915645,0.014186057,0.013320026,0.014657178,0.01882767863571644
EIF2B4,0.02466729,0.019100452,0.017684532,0.010854738,0.014067855,0.024173956364393234
EXOSC2,0.024296606,0.016540779,0.014697793,0.023359701,0.018627595,0.019436873495578766
VPS54,0.011658033,0.008239234,0.009735019,0.008812992,0.007724317,0.014334146864712238
NELFCD,0.008674837,0.008173692,0.0093544945,0.009813579,0.009712252,0.01798994466662407
MZT1,0.0054285605,0.0046371585,0.007788401,0.004761111,0.004860168,0.01581236720085144
XPO1,0.015157942,0.009340062,0.012930039,0.015429965,0.013524106,0.01562711037695408
USP39,0.014400755,0.013510265,0.022428147,0.015786836,0.017578589,0.03184880316257477
GNL2,0.0077765184,0.008204355,0.008022647,0.0060587893,0.005778453,0.01602032780647278
ACTR8,0.016394423,0.014529729,0.01816125,0.015851298,0.014889342,0.019192010164260864
PHB2,0.037488528,0.02127834,0.027598554,0.019564806,0.017270543,0.02695455774664879
RPS3,0.014294057,0.017565023,0.014024316,0.01888011,0.012927646,0.0268256813287735
ABCF1,0.005395571,0.00612696,0.0037650338,0.0052273893,0.0060839187,0.022825516760349274
BCR,0.018099021,0.010992361,0.008724968,0.008932877,0.007343811,0.01117950864136219
RPS11,0.022320347,0.02559387,0.023116088,0.024169886,0.011525402,0.027471397072076797
PHAX,0.009373217,0.0072866105,0.010737479,0.007891169,0.006036464,0.01740497723221779
SIN3A,0.011124074,0.010894819,0.014578912,0.01347368,0.016626807,0.01943015679717064
GFER,0.010890207,0.007095895,0.009022906,0.011699988,0.009306774,0.01972081884741783
RPL6,0.017195486,0.03263323,0.011786082,0.015735392,0.013921626,0.020657271146774292
SRRT,0.0297436,0.023609389,0.022784049,0.021496091,0.020256184,0.03349504992365837
MED6,0.0190037,0.018940514,0.016077632,0.013502646,0.014429257,0.014439419843256474
LSM5,0.011009094,0.008955806,0.01421818,0.012384293,0.011006981,0.01965305209159851
RPL36,0.024642287,0.02470896,0.010125848,0.010099248,0.015456111,0.020690279081463814
PSMD7,0.018290363,0.0151158245,0.009835387,0.01245125,0.009606827,0.014050619676709175
CHEK1,0.0072388123,0.008471398,0.007908888,0.008749365,0.010280883,0.027145110070705414
SKP2,0.008544819,0.005768512,0.01283803,0.008245613,0.008198014,0.023474154993891716
ABCE1,0.0142039405,0.011514996,0.017073298,0.022572314,0.014947486,0.02361353673040867
ANKRD11,0.0114297,0.008136839,0.008908328,0.008189475,0.008170404,0.020102929323911667
DHX37,0.016265057,0.012484145,0.011189859,0.017310621,0.012092191,0.01924285665154457
RPL14,0.017521536,0.025911303,0.012772866,0.011648581,0.017122291,0.02253497764468193
DNTTIP2,0.01718135,0.016883768,0.01061495,0.009796395,0.011964734,0.012740259990096092
PRPF18,0.014106047,0.013538476,0.018848768,0.020144617,0.019550223,0.025701168924570084
NCBP2,0.014328587,0.012194426,0.011404742,0.012146161,0.013074238,0.011903013102710247
UBL5,0.024621343,0.019366806,0.021594714,0.021123527,0.020985825,0.025176197290420532
LSM2,0.016044887,0.017419768,0.012711385,0.011116016,0.010978365,0.016680467873811722
POLA1,0.013339503,0.0074647595,0.00963942,0.017760977,0.0069830976,0.015558727085590363
CNOT1,0.015400881,0.019501328,0.024509856,0.026732462,0.020589937,0.015192719176411629
RPL27A,0.020731233,0.0239623,0.017846305,0.015011989,0.014908679,0.028582438826560974
NDC80,0.015511772,0.011258424,0.0114380885,0.009942248,0.011948048,0.013675665482878685
SON,0.018076545,0.012821449,0.01323869,0.010735625,0.012434336,0.015534205362200737
POLR2A,0.012927047,0.010154247,0.008263191,0.010808507,0.006464599,0.009969468228518963
RPL34,0.012727369,0.018935002,0.011645399,0.01691584,0.011144714,0.023248732089996338
INTS9,0.02135736,0.017841589,0.019934606,0.021185111,0.018107379,0.02139909565448761
RPA3,0.015607076,0.010637687,0.016387278,0.0071734358,0.01178098,0.016982052475214005
GPS1,0.0050060926,0.0050989874,0.0053995596,0.0038679196,0.0060806037,0.014875881373882294
DDX24,0.0067934855,0.009387381,0.010790604,0.01226966,0.011874952,0.017047539353370667
RPL13,0.007592358,0.011881003,0.005719177,0.004679773,0.004613402,0.012191321700811386
YEATS4,0.016865658,0.01070131,0.012420466,0.01808435,0.015371189,0.027705013751983643
GUCD1,0.0072431886,0.006545097,0.011690639,0.011205587,0.011736419,0.02700940892100334
UXT,0.012692517,0.010797768,0.0116967885,0.013067369,0.017376535,0.01839112862944603
PAF1,0.04054086,0.03632329,0.032948375,0.029588768,0.034870833,0.032023750245571136
HSPA5,0.02188236,0.022140434,0.01569091,0.013905695,0.013844891,0.023009562864899635
RPL19,0.021327589,0.028689554,0.021584295,0.013806509,0.016148135,0.03462700545787811
DYNC1I2,0.006813824,0.0046072844,0.010656609,0.011455855,0.012923982,0.01740770787000656
SDAD1,0.0077007925,0.014532262,0.014509651,0.010884937,0.015649121,0.025789372622966766
DSN1,0.020082125,0.01573135,0.010431345,0.020940157,0.013825624,0.017156336456537247
CENPJ,0.010031744,0.0056544556,0.00907556,0.01893118,0.008358601,0.020134862512350082
PSMA3,0.01728631,0.008825509,0.006589361,0.006226025,0.009758112,0.012422766536474228
RPS28,0.016684832,0.013507259,0.009506225,0.012617506,0.0097448,0.01768093928694725
MED19,0.018861184,0.015593436,0.0066134767,0.008377313,0.00862938,0.008157187141478062
RPS17,0.014483963,0.019123752,0.007614464,0.009643356,0.011954367,0.022603215649724007
TIMM23B,0.026905442,0.02260692,0.021108907,0.014195049,0.015633201,0.026792805641889572
RPS19,0.016944116,0.015693985,0.0075632953,0.009347243,0.004759119,0.011977951973676682
HARS,0.035230804,0.03332675,0.023532892,0.017703392,0.019475061,0.029887903481721878
KAT8,0.013109619,0.0115556335,0.017902518,0.01705622,0.021631377,0.02071966603398323
WDR3,0.012632448,0.011331802,0.010325116,0.013171702,0.008441507,0.01290968619287014
NUP54,0.009432151,0.00984648,0.018159056,0.01067384,0.00815541,0.02150413580238819
CPSF3,0.009654367,0.0062010502,0.010143379,0.0058916747,0.0069869095,0.01289861649274826
PSMA4,0.008941546,0.007970185,0.008733707,0.008007429,0.0074795033,0.015141473151743412
PTCD1,0.007123698,0.007348384,0.013600003,0.006756073,0.0093946615,0.02307918295264244
PSMD12,0.012477016,0.0067582834,0.014551096,0.013469346,0.009965266,0.012845443561673164
RARS,0.018171923,0.015544066,0.017666023,0.0089742225,0.012055775,0.022076599299907684
RPL12,0.014203879,0.016824001,0.015086727,0.013051819,0.012130742,0.019885433837771416
EIF4G2,0.008159191,0.006637213,0.00803307,0.008464999,0.00397136,0.012979896739125252
POLD1,0.011944348,0.015330661,0.009894955,0.011748697,0.017432977,0.02143840305507183
RPL10A,0.09560824,0.0899191,0.07767987,0.0763782,0.08117625,0.06601835787296295
COPZ1,0.016847307,0.011111661,0.021779483,0.013842335,0.015197038,0.020583227276802063
SLC39A9,0.0044269003,0.0037431782,0.0042739185,0.0047154375,0.003181493,0.011504014953970909
RPS7,0.013040984,0.014058811,0.020210817,0.025043344,0.01564877,0.023225098848342896
EEF2,0.0077169724,0.0054518795,0.007722692,0.0079502445,0.0069238115,0.01609560288488865
RPL30,0.009840377,0.009880917,0.007570588,0.0048224847,0.007862808,0.00978996604681015
NUF2,0.00618881,0.004276119,0.0036287976,0.00493052,0.0042615365,0.011416877619922161
DNAJC19,0.03313818,0.028330384,0.022644434,0.017431878,0.01904824,0.023080479353666306
WBP11,0.0115597965,0.009931363,0.014779185,0.01923614,0.019384773,0.019480589777231216
MRPL14,0.007217912,0.0070985956,0.013318639,0.010571229,0.011067266,0.018432769924402237
SNRPG,0.012488443,0.010973436,0.006333855,0.0066357227,0.006927746,0.012999998405575752
NRDE2,0.011727,0.009747214,0.008435737,0.010920996,0.0072826026,0.019194412976503372
RPAP2,0.015417261,0.009391392,0.008760878,0.011909752,0.009785564,0.01031002588570118
PSMC2,0.0165856,0.01272749,0.0063956315,0.009450622,0.006887939,0.009721959009766579
CTR9,0.027463634,0.02551463,0.013916496,0.024816088,0.019590035,0.024053528904914856
SUPT6H,0.07542708,0.051183637,0.02570911,0.029391581,0.024314912,0.036707937717437744
RSL1D1,0.013267157,0.008701817,0.014401559,0.010164579,0.011675933,0.020347557961940765
BUB3,0.011648557,0.008090386,0.007693269,0.0066845263,0.0073440783,0.01676366850733757
EIF3H,0.010208886,0.009073922,0.015230436,0.009112963,0.010253601,0.02068317122757435
TUBGCP2,0.008345159,0.0069422694,0.011232041,0.0095023345,0.008153368,0.01694364845752716
NSRP1,0.008407416,0.009108653,0.014603972,0.014913566,0.010041968,0.015866678208112717
HEATR1,0.017575348,0.019670516,0.022849094,0.017553894,0.020588279,0.02061634510755539
C1QBP,0.014464537,0.010269939,0.013332899,0.012257237,0.01321419,0.0182952843606472
RPS20,0.009857051,0.011275787,0.011658097,0.009874502,0.013995182,0.018837062641978264
WDR12,0.015811186,0.009657535,0.011681777,0.010333716,0.009028858,0.01922575756907463
KRR1,0.00944086,0.008488916,0.009491876,0.009359086,0.006202513,0.015858439728617668
RUVBL1,0.014925239,0.0134305665,0.016645001,0.01596915,0.021789443,0.019399302080273628
VARS,0.019332143,0.020304635,0.026083047,0.017015552,0.02189386,0.024233056232333183
HSPA9,0.04495845,0.04810977,0.029816348,0.02438289,0.024964096,0.03254520893096924
RPL5,0.013226888,0.010446663,0.0062538786,0.010231993,0.011137234,0.016974210739135742
PSMD1,0.009492701,0.008465262,0.011258287,0.013663778,0.01720386,0.014520391821861267
LSM6,0.0128242085,0.01380771,0.009643109,0.011990172,0.0079382295,0.02006566897034645
CSE1L,0.017379342,0.011892316,0.013090852,0.013752036,0.012094604,0.020608050748705864
MED30,0.03554985,0.03006683,0.017299442,0.024472307,0.027606167,0.026184778660535812
SNRPB,0.011153935,0.010783731,0.018795969,0.018903412,0.01853554,0.0250440314412117
POLR2E,0.008493498,0.009407431,0.006515018,0.010455833,0.009755674,0.018615055829286575
DONSON,0.0060731876,0.0035628432,0.005382122,0.0026120427,0.0033101528,0.010410169139504433
GAB2,0.009914527,0.00562877,0.0053768726,0.0026411677,0.004070376,0.010091152042150497
FAM32A,0.011025926,0.007550438,0.0117771635,0.006565526,0.008790871,0.019751477986574173
CNOT3,0.018149868,0.018235622,0.013161324,0.015034779,0.0143853,0.01875074952840805
PELO,0.00877543,0.010171253,0.012816277,0.010947597,0.014864343,0.02302836999297142
SF3B3,0.024891924,0.015509009,0.011289978,0.01052133,0.0091401385,0.01786847971379757
RPL11,0.007438402,0.009122954,0.010634363,0.004983912,0.005342728,0.011151555925607681
CEP192,0.010528036,0.009303226,0.01154866,0.008043245,0.012110017,0.02166805788874626
ICE1,0.009738305,0.0043045576,0.0062607583,0.006003231,0.0059438217,0.009421469643712044
PHF5A,0.017077925,0.013654031,0.01466078,0.011545729,0.010862372,0.019085992127656937
HMGCS1,0.0110143535,0.012241626,0.013074679,0.016285693,0.015593656,0.020801987498998642
RPSA,0.012170106,0.012375355,0.011100463,0.013577006,0.009291592,0.016774635761976242
HSPA8,0.012569425,0.0077880495,0.011005507,0.012115121,0.010851915,0.027414768934249878
CCNK,0.011370838,0.009565894,0.009025726,0.0077049043,0.008501989,0.015635300427675247
RPS15A,0.009154662,0.013211354,0.008857438,0.00866575,0.0085490355,0.014300569891929626
NFRKB,0.023590218,0.01015064,0.017827043,0.016164871,0.017764714,0.018908578902482986
CRNKL1,0.009270277,0.007263166,0.010415691,0.011440776,0.011232956,0.01948538050055504
RBMX2,0.019036861,0.016654927,0.014956458,0.01880437,0.015020067,0.020303983241319656
COG2,0.006817149,0.0036816513,0.0057729823,0.004262845,0.007408397,0.012328502722084522
POLA2,0.012616144,0.009322649,0.012622915,0.011315494,0.011278824,0.018434680998325348
NLE1,0.011008402,0.010722413,0.008905609,0.0070238695,0.008833104,0.022393425926566124
RPL21,0.011645254,0.009586065,0.009365615,0.009274144,0.008992249,0.01895599067211151
POLR3E,0.008345989,0.00741521,0.013077954,0.009702233,0.010713182,0.021057460457086563
TIMM9,0.010144356,0.0077929185,0.008933961,0.0095245745,0.009398935,0.020047325640916824
PSMB7,0.00414414,0.004822707,0.004776286,0.00513766,0.005752294,0.01836862415075302
RCC1,0.008254698,0.0062874584,0.009082444,0.0077027096,0.0073701683,0.02346954494714737
WDR26,0.009734543,0.009131295,0.013884532,0.009082714,0.009684041,0.01615772396326065
MED12,0.022625148,0.01822319,0.012108317,0.014551586,0.01447357,0.010319558903574944
NOL11,0.016065583,0.016360642,0.017659895,0.017957186,0.012075791,0.017223387956619263
PRELID3B,0.017767683,0.0143404305,0.0164499,0.014200503,0.02070921,0.024539656937122345
SSRP1,0.017135723,0.012828391,0.011144349,0.008459539,0.012254677,0.011271188035607338
GOLT1B,0.009229534,0.007351566,0.013693132,0.012799927,0.01173934,0.022666102275252342
COPS6,0.017499354,0.010013611,0.009925886,0.011991409,0.011718176,0.016028795391321182
DYNC1H1,0.008013003,0.0077307485,0.014253876,0.012254644,0.015145508,0.016471588984131813
GPN3,0.026306093,0.018468857,0.014061831,0.019755352,0.018620301,0.02268163673579693
PSMB5,0.011243092,0.010804585,0.012001907,0.01627242,0.014959555,0.015985116362571716
YEATS2,0.013055308,0.015676457,0.011093149,0.01955888,0.016442219,0.017241008579730988
PSMD4,0.015979752,0.014904164,0.014437242,0.013883719,0.01883608,0.013111758977174759
RPL18,0.010534022,0.0118223345,0.016103206,0.020646242,0.014458692,0.014597167260944843
SLC25A10,0.0067926245,0.008293187,0.015884731,0.015849937,0.0152494125,0.025296185165643692
CDK1,0.007937614,0.0053078984,0.0057515693,0.0056423973,0.0057755928,0.0145455626770854
AATF,0.008852728,0.01052979,0.011237756,0.012077475,0.013379273,0.01689060404896736
EIF3A,0.008929829,0.011624243,0.010148082,0.010169727,0.007022788,0.02303192764520645
MCM10,0.010088562,0.012131263,0.010208786,0.010569484,0.010631898,0.01521182619035244
RPL4,0.010389105,0.010978937,0.008411133,0.0046754633,0.005767382,0.013703059405088425
MED11,0.014022082,0.016981183,0.015116836,0.014028005,0.020897582,0.014074496924877167
PIAS4,0.012087889,0.009774505,0.012941851,0.011503027,0.008976174,0.019212663173675537
ATP6V1B2,0.010156076,0.007969315,0.009237695,0.0071418816,0.009403618,0.020199300721287727
KPNB1,0.010209333,0.011702657,0.0070964424,0.008626843,0.012219834,0.016053156927227974
EIF2B2,0.018394249,0.019528149,0.013819638,0.010167795,0.015213354,0.01856977865099907
PCF11,0.012638694,0.008539631,0.007057463,0.0076059885,0.0073374314,0.009513689205050468
BDP1,0.0072948635,0.007834304,0.0057251067,0.005120024,0.005911425,0.017267275601625443
NUMA1,0.011584537,0.014899942,0.0138938995,0.015258416,0.01687949,0.020755231380462646
RRP12,0.028516315,0.020828063,0.017531557,0.017918171,0.014629521,0.02502739429473877
MED7,0.040023025,0.03549496,0.028501082,0.023051847,0.019245168,0.015755727887153625
RPL9,0.018698767,0.023987576,0.01890693,0.020102866,0.015629211,0.03226417303085327
NUP107,0.014997414,0.009110733,0.009109845,0.007192147,0.0067496626,0.016641251742839813
