PTBs,Nontargeting,GEARS,Causal,Conditional,Full,RandAvg
RPL23,0.9731926875020068,0.9737792214069421,0.988042422989642,0.9889882516521664,0.9884602780438697,0.9875084252827218
SLU7,0.9455445737181224,0.9461017152486042,0.9516883892958907,0.9454500503564269,0.9494159227417491,0.948122060029551
NAA38,0.9756930030233544,0.9764597666540344,0.9799914897512221,0.9814671706646767,0.9824428474810012,0.98188049194798
RBM14,0.9823655435909842,0.9816855874837489,0.9758995057384892,0.9784959686560699,0.9779752679424729,0.9738030340955672
SUPT5H,0.9564162447268217,0.9571734649886882,0.971863122111678,0.9734475677944714,0.9685768558213048,0.9714479199146906
U2SURP,0.9804356231393455,0.9809450803441906,0.9756494795792021,0.9763785542766414,0.9786905725983557,0.9782468132977773
QARS,0.9770163915215235,0.9770518353240597,0.9831390008327763,0.9838066737951692,0.9818599225811825,0.983213131897997
MAGOH,0.9841085755928491,0.982274978930681,0.9805850188701574,0.9796424938066794,0.9813769827325023,0.9792531482812628
FCF1,0.9799208894503164,0.9817389641487053,0.9828081273436622,0.9802285657414332,0.9808422077304201,0.9796539637203934
RPS29,0.9890727137236539,0.988410010762303,0.9912733584359328,0.9902982419176598,0.9910335470672758,0.987900472176602
NACA,0.9760603854053568,0.9763070695905196,0.9822201699325164,0.9819957402076862,0.9814263238481963,0.9805713385320016
RPL7,0.9822000942881559,0.9815356872488454,0.9829770946597907,0.9852939067028547,0.9830741676762826,0.9817983069075584
RPL26,0.9756078501164437,0.977407935481754,0.9810357692417795,0.983045897052206,0.9820167727934251,0.9788947010943585
SLC7A5,0.9900979109504138,0.991371476254981,0.9902829908575443,0.9898016371136049,0.9893484669074917,0.9883069238304426
POLR2F,0.9824712276754524,0.9811780461214429,0.9855712828266607,0.9859679974772911,0.9860004976710572,0.9837531990810804
COPS8,0.9876094850422814,0.9878381260043434,0.9830738756097914,0.9848053763778887,0.981926058754487,0.9797344244549326
TEFM,0.985650954328724,0.9855626298288435,0.9810920086054901,0.9823915453076371,0.9809713672557957,0.9787925475775022
POLR1E,0.9844519833008082,0.9852129155549791,0.9836982655040437,0.9830765046171761,0.9832841899431136,0.9793888816031658
MRPS35,0.9863596128112191,0.9866008525366419,0.9848308709589116,0.984760260707753,0.9827940896577858,0.9803216596855188
RPL37A,0.9835517244446972,0.9824110617514378,0.9892463162482841,0.9909038630829197,0.9886866170494275,0.9877186634058543
DDX41,0.9751636283366643,0.9736470918470317,0.9619738376576266,0.96166799507664,0.9649307152087352,0.965799870294625
RPL8,0.9816478961461983,0.9822566948820043,0.987402442698675,0.9898920410256624,0.9849249030186762,0.9876390295299634
SF3B4,0.9779763718735259,0.9781399243558895,0.9767658528228107,0.9752014422354673,0.9760942362495628,0.9759323733403206
WDR36,0.9843700279629096,0.9837117588693001,0.9815969949918716,0.9809437197183405,0.9804423140023282,0.9762657153898482
GFM1,0.9875221292039444,0.9883597216048063,0.9811968970342917,0.983471285628119,0.9838917457236707,0.9808736147798306
SFPQ,0.9687735481177885,0.9695949484333656,0.969150551810304,0.9687136564464516,0.9660791290867793,0.9692491042841499
RPL3,0.9983353235631469,0.9982734283486402,0.9983311769973104,0.9983018384000751,0.9983375333103806,0.9957672180227481
COPS4,0.98501934084273,0.9854227858039054,0.9807753996206866,0.9806979903397226,0.9820174926884329,0.9782677802219186
POLR2D,0.9888776691321011,0.988760113189921,0.9804359630170987,0.983002783385762,0.9846325317758869,0.9783569322066834
EIF2B5,0.9794251940628982,0.9790109619838464,0.9824129867813266,0.9828817562419254,0.9842904167911346,0.9828981629868911
YTHDC1,0.9861552034192945,0.9858275329323681,0.9809388621103869,0.9820631576494125,0.9794784832467542,0.9772737110014124
BCAS2,0.9818645929515861,0.9822236212309592,0.9780639258094004,0.9786393290574538,0.9807788601620822,0.9785142308648868
TRRAP,0.9807898765707624,0.981554798326755,0.9804557269225425,0.9822472145238687,0.978038080687688,0.9797882954432102
RFC3,0.985618678715591,0.9858390863527404,0.9827896977706622,0.9840162050516388,0.9847759346768762,0.9816027398168515
PRPF4B,0.9853551581753931,0.9858036702570468,0.9805507940491799,0.9828848809582525,0.983973370982916,0.9800694499425546
CHMP6,0.9900604267095412,0.98981333692875,0.9895365784814331,0.9897456199205577,0.9907246596817025,0.988701631267028
LTV1,0.9852326231411654,0.9851649310669675,0.98600783870777,0.9871438043619754,0.9908494708814,0.9844290139665484
CCT4,0.9818362798714767,0.9817287667266966,0.9789474607096164,0.9790622124280964,0.9781642257234003,0.9777472390213238
PRPF6,0.9809425551142548,0.981024385352374,0.9774773138087123,0.9755307521485737,0.9774085391263019,0.9757769274043657
ISCA2,0.9885889060485105,0.9888081078400323,0.9841460437380287,0.9842521373140538,0.9849593558930887,0.9830359767194856
PMPCB,0.9831749181906397,0.9849044241453206,0.9874392739253286,0.9876442915400114,0.9873580991369275,0.9882469482180637
OXA1L,0.9861745090890558,0.9861643581829687,0.9870768021527583,0.987420009033563,0.9874080019312574,0.985170634325802
EIF4G1,0.9874782934589916,0.9871995117032745,0.9871165828490495,0.9876584791589053,0.9862185277469263,0.9867333141399595
CDC27,0.99342148563138,0.993153945401017,0.9916948178754605,0.992215758880578,0.9926939391995375,0.9903012878814897
CASP8AP2,0.9771958979679514,0.9761841769180158,0.9727440508941481,0.974251207593296,0.9741905058260966,0.9705810773792259
ARGLU1,0.9935477934784865,0.993598035112221,0.9934729598249057,0.993815046102281,0.9929193924567881,0.9907275750190392
RPS24,0.9735699559942582,0.9723955911551387,0.9712479728616463,0.9655334445540429,0.9776477862742267,0.9744792297907169
NUP160,0.9886759860595051,0.9889334116339652,0.9824848374751263,0.9823641270311603,0.9832207568067471,0.9817121934004245
PSMC4,0.9794413628145568,0.9806957886390026,0.9751457902277858,0.9772503273228227,0.9758292940421185,0.976784861701154
EIF2B4,0.9734931381383787,0.9757433921465465,0.9806359503880616,0.982061013910011,0.9823775118311461,0.9807728732767439
EXOSC2,0.9697022463202666,0.9713403538055242,0.9647877416924785,0.9627301397149873,0.9661296364778179,0.9613257556468482
VPS54,0.9907763886688209,0.9907098593692829,0.9905158579784097,0.9915547054241186,0.991386989576277,0.9891218044667944
NELFCD,0.9855769764705733,0.9854102763662105,0.9805882117802837,0.981882467904942,0.9822737855046259,0.9729740694493387
MZT1,0.9932543506744871,0.992705973741247,0.9911815413454248,0.9912690248945891,0.9904780378477185,0.9882963464543488
XPO1,0.9753848307393114,0.9749634291773641,0.974649917850813,0.9741103853921897,0.9735539028174105,0.974995659137921
USP39,0.9807573275036745,0.9808445874061801,0.977403310980658,0.9778514173531335,0.9783206644402924,0.9759781135775853
GNL2,0.9865056764369762,0.9862690759794223,0.9898077648529398,0.9917356210061563,0.9917437154975053,0.9895000922679384
ACTR8,0.9860087151794386,0.9866434534683197,0.9806121688656911,0.9812042264849541,0.9822515407426167,0.9793848324016869
PHB2,0.9669688135748375,0.9683163135120998,0.971663707739459,0.972743699157801,0.9795838857305263,0.9720681505219719
RPS3,0.9761878738108252,0.9762782333055493,0.9770119064750921,0.9721339841453185,0.981897772711835,0.9770024447392146
ABCF1,0.9907337175408533,0.991568900652498,0.9913994018963933,0.9917056856328271,0.9914382020760195,0.9891332859354456
BCR,0.9829270141151057,0.9825544907468428,0.9841144140402209,0.9834607365087583,0.9838300399354363,0.98328851745005
RPS11,0.9772179494274783,0.9770443149428539,0.9739993189541163,0.9723576867720547,0.9798566845362673,0.9760740064660316
PHAX,0.985044020025769,0.9854800609644778,0.9854020396276197,0.9855605329843362,0.9878014786779998,0.9865102954771102
SIN3A,0.9908416958918759,0.9908428296006656,0.9847077145580109,0.9844209346291283,0.9809967955834995,0.9807862796546504
