PTBs,Nontargeting,GEARS,Causal,Conditional,Full,RandAvg
NLE1,0.9911190635818723,0.9926491004448946,0.9938373412251768,0.9954036356622009,0.9945524273356001,0.9915684945803342
DYNC1I2,0.9960400303927661,0.9965079847012022,0.9919992578843937,0.994167376310819,0.9915767793426866,0.9924449871124019
HSPA8,0.9917159225000745,0.9943636525958146,0.9920649806751147,0.9911714423542264,0.9920911863426127,0.9899664599387659
TRRAP,0.9900983844388628,0.9893766958209962,0.9899543993516687,0.9904280695860546,0.9889610985245667,0.9881721093428695
MED11,0.9921598430836042,0.989814784734312,0.9882957999458419,0.9895233268546669,0.9847910921961156,0.9894891488678352
FCF1,0.9890806041459224,0.9871358967932348,0.9906362411819543,0.9923498702819722,0.9937285639747837,0.9894360732569965
EIF2B2,0.9849506560961145,0.9853959015397907,0.9914617456198599,0.9928496764836845,0.9912697446157568,0.9918479727028111
SNRPG,0.9912437923949093,0.9920140420788484,0.9952307233662623,0.994903282905111,0.9948818955675509,0.9957773763255697
GUCD1,0.9959055104650285,0.9952221056269579,0.9919090399762951,0.9923552140537621,0.9920273672204475,0.9889441691825838
MED7,0.9810488536804849,0.9790146179697836,0.9796331968964609,0.9882932005154517,0.9805059452275555,0.9859803819188893
DDX46,0.9926894964331547,0.9923723691366002,0.9902449382874563,0.9913686369615158,0.9918957445165157,0.9911783900206188
LSM5,0.9926544771353132,0.9933506832958181,0.9911610765383241,0.9911486703133876,0.9919753435426111,0.9906530993033625
TRA2B,0.9940176096947332,0.9930790373009131,0.9921114608410129,0.9892517144707332,0.9912068570624086,0.9914255685855037
SON,0.9891545399404182,0.9910349656166448,0.9904401322134281,0.9918416396143397,0.9916397094974668,0.9907298691923772
UBL5,0.9883944694668547,0.9866014176514026,0.9849168165737433,0.9857645072392904,0.987626381290823,0.9882094586534713
RPL6,0.9869571808915691,0.9805482471020832,0.9912400342216088,0.9896687074145405,0.9904472185597101,0.9906546289956117
RPL21,0.9934055334750632,0.9941999346806654,0.9929404900665231,0.99346996114661,0.9942536943267684,0.99051176143211
DHX37,0.9913275142279026,0.9923114019132624,0.9939335372037092,0.9891890731041706,0.9939002633645682,0.9877117856731888
MED30,0.9774200838520721,0.9820553720871429,0.985890058195621,0.9812108098660525,0.9755085973588783,0.978177077712401
DLD,0.9922539396067919,0.9906854573463728,0.985866558947949,0.9832617889321693,0.9865010189491483,0.9838508243093123
