PTBs,Nontargeting,GEARS,Causal,Conditional,Full,RandAvg
PSMD7,0.04454359412193298,0.04577914693138816,0.035861429843035614,0.028520529920404606,0.04860900477929549,0.030806262384761463
CSE1L,0.056759460614277765,0.03745215901961693,0.0626766039774968,0.0437030906860645,0.031470003036352306,0.04142943311196107
GFM1,0.011753874165671212,0.010706548179898943,0.023494950362614224,0.015212842396327428,0.025816849299839566,0.03455744470868792
MED1,0.04000553062983921,0.061649326767240255,0.03873533436230251,0.0916700576032911,0.040637893336159844,0.006468102335929871
SART1,0.024210482835769653,0.04876399040222168,0.030797431866327923,0.03130740258428785,0.030071679088804457,0.034274415837393865
PSMD12,0.04074615612626076,0.007281538099050522,0.03846452385187149,0.026707038283348083,0.010360445827245712,0.02184331603348255
RPS24,0.048566073179244995,0.053016109125954766,0.04359272548130581,0.037186609847205024,0.055032781192234585,0.028264902532100677
RFC3,0.033324978181294033,0.040825848068509786,0.03750195247786386,0.0039740971156529015,0.016980362789971486,0.04271109827927181
POLR2I,0.03814553717772166,0.05819713572661082,0.0212019681930542,0.02975102762381236,0.03968194623788198,0.046774347623189286
MBTPS2,0.05040923257668813,0.00997088352839152,0.027378345529238384,0.011776988704999289,0.006407866875330607,0.029696524143218994
LSM6,0.030832620603697642,0.040834929261888774,0.03135153225490025,0.0388130077293941,0.027101904153823853,0.04298977873155049
RPL5,0.032173300782839455,0.0417545884847641,0.0264538178841273,0.04194665948549906,0.03475966056187948,0.05216814577579498
RIOK1,0.03934008777141571,0.03268332481384277,0.016810616850852965,0.04586036801338196,0.0322617918252945,0.016825662553310396
RPL37,0.018378466367721558,0.029729699546640568,0.018431476571343162,0.0321856520392678,0.04163347049192949,0.03537193685770035
LTV1,0.04677220185597738,0.042426870928870306,0.038154813978407115,0.048729035589430064,0.03196508685747782,0.025559174517790478
EIF3M,0.021523650203432356,0.0196573053087507,0.02739813072340829,0.024475787367139543,0.026562724794660295,0.039549642375537326
MED22,0.05850957168473138,0.04149820407231649,0.047181530131234065,0.0406454238626692,0.03792000810305277,0.044568025403552584
NUP54,0.03577681382497152,0.04064137405819363,0.032737023300594754,0.021580096748140123,0.024997154871622723,0.02450387179851532
CHMP6,0.043158804115496184,0.026193388198551378,0.029851449163336503,0.02956283406207436,0.03327399492263794,0.03129208558484128
RPA2,0.03655051759311131,0.020566020693097795,0.0386517984526498,0.050342402287891934,0.022734016180038452,0.03706056518214089
PSMC4,0.05138117926461356,0.03353160193988255,0.06432718890053886,0.05052351100104196,0.05547719768115452,0.01649222842284611
RPL4,0.04298627078533172,0.03574485182762146,0.0302611380815506,0.03134034872055054,0.043576523661613464,0.050471823662519455
SUPT5H,0.09772614389657974,0.08232622841993968,0.05016551415125529,0.0920964777469635,0.05958113571008047,0.06496952101588249
RPL14,0.052656913797060646,0.03952095409234365,0.04666470487912496,0.05838921666145325,0.03866367042064667,0.05043898522853851
POLR2F,0.014537540078163148,0.0217922180891037,0.03789801001548767,0.032080307602882385,0.05106544494628906,0.018377944827079773
RPS15A,0.03407695558336046,0.03349875410397848,0.021688703033659194,0.027168989181518555,0.03156973918279012,0.022753541668256126
POLA1,0.02412623167037964,0.02966722846031189,0.018267210040773665,0.03267703311783927,0.0330842775957925,0.02746214611189706
AATF,0.04062708550029331,0.0445709592766232,0.01107840571138594,0.0382767120997111,0.0296419362227122,0.024555936455726624
HSPA5,0.06383471534802364,0.04557351882641132,0.0424199471106896,0.037435868611702554,0.024441086328946628,0.057052354399974525
POLR2E,0.033867171832493374,0.007092152323041644,0.012987852096557617,0.017602460724966868,0.02246565478188651,0.03651473990508488
HNRNPC,0.03586903214454651,0.028735023736953736,0.05325087308883667,0.03297826647758484,0.034813740849494935,0.0399455800652504
ORC1,0.024519119411706924,0.02571733482182026,0.041581811383366585,0.008384419605135918,0.028709368780255318,0.034275314304977655
GNL2,0.03183834552764893,0.017484253644943236,0.011602845788002015,0.034419465065002444,0.024367669224739076,0.026280730962753296
RPL18,0.05273621612124973,0.04879007405704922,0.041051010290781655,0.059215688043170504,0.04578411910268995,0.040122548739115395
RPL7,0.06611145536104839,0.059385362598631114,0.02377143833372328,0.031411061684290566,0.034244308869043984,0.037386252648300596
RPS20,0.02532219886779785,0.042704883962869644,0.02497861534357071,0.02475127950310707,0.03334726020693779,0.02393093705177307
SF3B2,0.03016661802927653,0.031992467244466145,0.0369068702061971,0.021258739630381267,0.04340011477470398,0.03762530436118444
PHAX,0.03013919045527776,0.03644998619953791,0.027163239816824596,0.031702237824598946,0.008138236900170645,0.02185953905185064
MED10,0.03332965262234211,0.034203920513391495,0.026438593864440918,0.023847581818699837,0.04700830206274986,0.029714517295360565
NUF2,0.025466805696487425,0.02663958470026652,0.021710205078125,0.019239586591720582,0.025375378131866456,0.03059344192345937
TPX2,0.030305775729092686,0.027508919889276676,0.007448982108723034,0.01894656636498191,0.025215517390858044,0.029013859277421776
KAT8,0.03489841893315315,0.05200917273759842,0.047992147505283356,0.02907973900437355,0.024282988160848618,0.016544032841920853
SLU7,0.03952955773898533,0.07992017694881984,0.06927088754517692,0.04929304548672268,0.03842134986604963,0.044697159102984836
PSMC2,0.05187209065143879,0.046675182305849515,0.030265008027736958,0.06447118062239426,0.03369426039549021,0.031210331962658808
INTS8,0.0639263242483139,0.057709532976150515,0.05192157924175263,0.04629280865192413,0.038431558012962344,0.04185940474271774
RPS11,0.02785457670688629,0.03934234380722046,0.043597154319286346,0.04122822359204292,0.020029742270708084,0.03290885966271162
NAA38,0.04157529635862871,0.04368626258590005,0.033376474272121086,0.030276927081021397,0.04335435954007236,0.0336938893253153
EIF4E,0.04513986815105785,0.03675876422361894,0.03551294045014815,0.024620481512763283,0.04428045316175981,0.051100166006521744
NSRP1,0.044207096099853516,0.04839517389025007,0.04649677872657776,0.041518207107271464,0.00818057996886117,0.04285440806831632
NIP7,0.02942143753170967,0.020976904779672623,0.020862534642219543,0.013432066887617111,0.014620497822761536,0.0325084812939167
CNOT1,0.04104095697402954,0.0333854965865612,0.023575689643621445,0.14320742711424828,0.054904527962207794,0.03534301742911339
RARS,0.03792589157819748,0.05829194436470667,0.05440342674652735,0.03439162174860636,0.0495705579717954,0.03980728114644686
RBM14,0.02904599905014038,0.027643374034336636,0.024082175322941372,0.024456786257880076,0.019224030630929128,0.03641312675816672
INTS9,0.02337191786084856,0.034085367407117574,0.02682549612862723,0.031658709049224854,0.03028550318309239,0.039780186755316596
DDX24,0.028329167515039444,0.02444949373602867,0.024508528411388397,0.030604593455791473,0.02456243708729744,0.026777371764183044
RCC1,0.022425017186573575,0.023978884731020247,0.025762464318956648,0.023500757558005198,0.01610302073614938,0.03651812140430723
CRNKL1,0.019314546138048172,0.011577356606721878,0.044219303876161575,0.021993011236190796,0.02144656702876091,0.030110113322734833
RPS28,0.0312289297580719,0.03683014048470391,0.04723300370905134,0.04012998938560486,0.022516192661391363,0.028179982470141515
EIF2B2,0.05506816837522718,0.08092764019966125,0.04234842790497674,0.04625816808806525,0.031810144583384194,0.06340834746758144
LSM5,0.022857969005902607,0.01798782745997111,0.01761599878470103,0.04848252236843109,0.009418542186419169,0.018246351430813473
UBA1,0.04747257009148598,0.03873942047357559,0.0291164331138134,0.0595855787396431,0.024691089987754822,0.04477863200008869
TIMM9,0.045513237516085304,0.013160919149716696,0.030652282138665516,0.020066435138384502,0.03025583177804947,0.035898630817731224
RPL27A,0.05644785861174265,0.05346232155958811,0.04789172609647115,0.060807873805363975,0.03282621999581655,0.049345343063275024
DHX37,0.03437377015749613,0.02695968250433604,0.03706767658392588,0.023657167951265972,0.017233341932296753,0.020434183379014335
MED30,0.07846457097265455,0.08270452088779873,0.049062136146757335,0.07070477803548177,0.08913331230481465,0.052665246857537165
DLD,0.04562813705868191,0.040345062812169395,0.03549312220679389,0.04263787137137519,0.03803872730996874,0.04004551635848151
WDR26,0.035148603575570245,0.011369292225156511,0.0192942385162626,0.011246808937617711,0.019498974084854126,0.03095569887331554
GPS1,0.0441802075276008,0.028317703650547907,0.03283221905048077,0.0353140257872068,0.03572093064968403,0.028735237052807443
SKP2,0.013814623157183329,0.025439833601315815,0.02447705715894699,0.006744461754957835,0.014802716672420502,0.019736212988694508
PRPF18,0.040711529552936554,0.052173905074596405,0.029932640492916107,0.037089770659804344,0.0321238711476326,0.05137691181153059
MED12,0.08708169004496406,0.07097662722363192,0.04992600574212916,0.034219712018966675,0.060055110384436214,0.04568625022383298
USP39,0.03466916580994924,0.03332830468813578,0.04977587362130483,0.023521676659584045,0.035367682576179504,0.05392137418190639
RPS29,0.0355859970053037,0.025372609496116638,0.024545816083749134,0.03465157002210617,0.023401190837224323,0.027137825886408486
EIF4G2,0.010954755544662475,0.02548287808895111,0.017868199944496156,0.02516084760427475,0.022117730975151063,0.02820851430296898
RPSA,0.025293937751225064,0.0430894706930433,0.015773671013968333,0.027360899107796804,0.03727145067283085,0.045611949903624396
POLR3E,0.0018245130777359009,0.008735905090967814,0.020302573839823406,0.008540565768877665,0.030671216547489166,0.021766634037097294
CTR9,0.0469228724638621,0.033810521165529885,0.0482343335946401,0.05361617604891459,0.02588769296805064,0.036045142759879426
WBP11,0.037334574593438044,0.04401036434703403,0.018736839294433594,0.02177370587984721,0.021295239528020222,0.03756950795650482
BDP1,0.03771877884864807,0.016717609763145447,0.022295379638671876,0.017972883582115174,0.03840160071849823,0.03200410455465316
GOLT1B,0.025249946862459183,0.0043482184410095215,0.0212535597383976,0.01278965175151825,0.019089095294475555,0.02681761234998703
EXOSC2,0.05498841404914856,0.031154683658054898,0.041399627923965454,0.05975333281925747,0.04717983944075448,0.036220998636313846
SLC7A5,0.02970988100225275,0.02967678958719427,0.014488136226480658,0.020588452165777035,0.030160405419089577,0.03110117329792543
PTCD1,-0.0014798492193222046,0.009703200310468674,0.025257505476474762,0.01106802374124527,0.02644287422299385,0.019141298718750477
OXA1L,0.05722970068454743,0.032150670886039734,0.04176148474216461,0.03194422721862793,0.03713542819023132,0.05715718567371368
RPS17,0.04350572327772776,0.03264418741067251,0.032308682799339294,0.008477258185545603,0.04026042421658834,0.02323895817001661
GPN3,0.06841686367988586,0.06451243907213211,0.04278025031089783,0.03376692533493042,0.050010353326797485,0.04082949087023735
ISCA2,0.013201011078698295,0.01709867375237601,0.02656522606100355,0.009926568184580122,0.013333473886762346,0.02707092251096453
PSMA4,0.02817065765460332,0.042466687659422554,0.025124202171961468,0.02004451056321462,0.030443931619326275,0.02519222969810168
SLC39A9,0.04080643342888873,0.01659984433132669,0.018906750108884728,0.016678264607553898,0.023279391553090965,0.02353563289279523
WDR3,0.02321090210567821,0.037665185603228485,0.03277444568547336,0.043373958630995316,0.03504774109883742,0.02792361649599942
PSMC1,0.06352203422122532,0.03626061148113675,0.0683967305554284,0.04302398032612271,0.04054325156741672,0.03781628774272071
NUP98,0.013191910584767659,0.03134681582450867,0.011112010478973389,0.01876118779182434,0.025110453367233276,0.031000960866610208
DYNC1H1,0.04518023795551724,0.03365182876586914,0.04080576697985331,0.026735516058074102,0.021425171030892268,0.025021152363883123
PSMB6,0.029828478892644245,0.03052470584710439,0.06588178873062134,0.03396714727083842,0.022927314043045044,0.031007396678129833
