PTBs,Nontargeting,GEARS,Causal,Conditional,Full,RandAvg
PHAX,0.48,0.48,0.5,0.26,0.36,0.42
NAA38,0.38,0.48,0.22,0.3,0.3,0.32999999999999996
NUF2,0.54,0.26,0.46,0.28,0.3,0.34
RBM14,0.52,0.36,0.34,0.4,0.42,0.47
SUPT5H,0.52,0.36,0.26,0.4,0.28,0.22
RPL18,0.52,0.62,0.48,0.52,0.3,0.4
AATF,0.48,0.52,0.38,0.46,0.36,0.38
RPL7,0.46,0.6,0.38,0.56,0.52,0.4
PSMD7,0.42,0.5,0.36,0.36,0.32,0.33
RPL4,0.54,0.66,0.38,0.56,0.42,0.38
PSMC2,0.5,0.48,0.3,0.38,0.3,0.31
POLR2F,0.42,0.42,0.34,0.28,0.42,0.27
RPL14,0.46,0.44,0.34,0.52,0.42,0.4
NSRP1,0.36,0.34,0.48,0.32,0.44,0.22999999999999998
POLA1,0.44,0.48,0.28,0.46,0.38,0.37
RPS20,0.54,0.6,0.46,0.56,0.44,0.4
CNOT1,0.4,0.54,0.4,0.42,0.42,0.36
INTS9,0.48,0.36,0.38,0.34,0.4,0.37
SF3B2,0.5,0.38,0.38,0.22,0.36,0.2
GFM1,0.44,0.4,0.44,0.36,0.36,0.35
NIP7,0.44,0.5,0.38,0.38,0.5,0.39
MED1,0.5,0.4,0.26,0.44,0.24,0.30000000000000004
RPL5,0.44,0.58,0.42,0.44,0.5,0.5800000000000001
RPA2,0.52,0.56,0.4,0.3,0.36,0.31
LSM6,0.38,0.5,0.4,0.36,0.32,0.29000000000000004
CSE1L,0.48,0.38,0.38,0.4,0.3,0.45
POLR2E,0.54,0.4,0.48,0.36,0.4,0.32
SART1,0.4,0.36,0.26,0.34,0.34,0.28
MED10,0.5,0.48,0.28,0.28,0.24,0.29000000000000004
TPX2,0.42,0.36,0.32,0.26,0.38,0.32999999999999996
HSPA5,0.54,0.54,0.38,0.36,0.38,0.33999999999999997
RFC3,0.52,0.62,0.42,0.44,0.42,0.54
RIOK1,0.42,0.44,0.4,0.46,0.5,0.37
EIF3M,0.52,0.38,0.38,0.44,0.46,0.34
EIF4E,0.46,0.42,0.36,0.42,0.4,0.4
LTV1,0.52,0.5,0.44,0.58,0.34,0.35
CHMP6,0.56,0.34,0.42,0.3,0.32,0.35
INTS8,0.46,0.34,0.3,0.24,0.36,0.26
RPS15A,0.44,0.62,0.42,0.5,0.36,0.38
RPL37,0.42,0.44,0.32,0.44,0.4,0.37
RPS24,0.44,0.56,0.5,0.26,0.44,0.35
RPS11,0.52,0.6,0.44,0.46,0.3,0.5
KAT8,0.44,0.28,0.52,0.28,0.34,0.35
PSMC4,0.5,0.36,0.32,0.28,0.32,0.31
NUP54,0.4,0.34,0.34,0.38,0.32,0.35
ORC1,0.44,0.44,0.46,0.34,0.26,0.30000000000000004
PSMD12,0.4,0.32,0.2,0.34,0.3,0.29000000000000004
RARS,0.52,0.34,0.38,0.24,0.44,0.26
MBTPS2,0.44,0.32,0.4,0.32,0.38,0.48
GNL2,0.4,0.58,0.5,0.46,0.28,0.38
MED22,0.46,0.44,0.28,0.3,0.36,0.32
POLR2I,0.48,0.32,0.3,0.3,0.32,0.21000000000000002
HNRNPC,0.54,0.4,0.4,0.34,0.28,0.31
SLU7,0.4,0.26,0.26,0.36,0.28,0.29000000000000004
GPN3,0.48,0.46,0.22,0.26,0.28,0.29000000000000004
DYNC1H1,0.48,0.36,0.48,0.34,0.38,0.25
WBP11,0.4,0.52,0.4,0.44,0.34,0.4
RPS29,0.48,0.52,0.32,0.5,0.48,0.35
LSM5,0.46,0.38,0.4,0.48,0.5,0.37
SLC7A5,0.44,0.34,0.34,0.3,0.5,0.32
SKP2,0.5,0.4,0.44,0.44,0.54,0.37
CTR9,0.48,0.36,0.4,0.42,0.36,0.39
NUMA1,0.54,0.34,0.42,0.36,0.4,0.33
EIF2B2,0.4,0.34,0.26,0.34,0.38,0.33999999999999997
BDP1,0.48,0.5,0.34,0.4,0.32,0.22000000000000003
DHX37,0.52,0.42,0.52,0.5,0.34,0.34
EIF3H,0.5,0.34,0.5,0.32,0.48,0.38
PRPF18,0.4,0.42,0.4,0.54,0.38,0.31000000000000005
RPL27A,0.54,0.48,0.6,0.54,0.36,0.39
SF3B4,0.44,0.46,0.34,0.4,0.48,0.41000000000000003
