PTBs,Nontargeting,GEARS,Causal,Conditional,Full,RandAvg
PHAX,0.48,0.52,0.5,0.74,0.64,0.5800000000000001
NAA38,0.58,0.52,0.78,0.7,0.7,0.6699999999999999
NUF2,0.42,0.74,0.54,0.72,0.7,0.6599999999999999
RBM14,0.44,0.64,0.66,0.6,0.58,0.53
SUPT5H,0.44,0.64,0.74,0.6,0.72,0.78
RPL18,0.44,0.38,0.52,0.48,0.7,0.6000000000000001
AATF,0.48,0.48,0.62,0.54,0.64,0.62
RPL7,0.5,0.4,0.62,0.44,0.48,0.6
PSMD7,0.54,0.5,0.64,0.64,0.68,0.67
RPL4,0.42,0.34,0.62,0.44,0.58,0.62
PSMC2,0.46,0.52,0.7,0.62,0.7,0.69
POLR2F,0.54,0.58,0.66,0.72,0.58,0.73
RPL14,0.5,0.56,0.66,0.48,0.58,0.6
NSRP1,0.6,0.66,0.52,0.68,0.56,0.77
POLA1,0.52,0.52,0.72,0.54,0.62,0.63
RPS20,0.42,0.4,0.54,0.44,0.56,0.6
CNOT1,0.56,0.46,0.6,0.58,0.58,0.64
INTS9,0.48,0.64,0.62,0.66,0.6,0.63
SF3B2,0.46,0.62,0.62,0.78,0.64,0.8
GFM1,0.52,0.6,0.56,0.64,0.64,0.65
NIP7,0.52,0.5,0.62,0.62,0.5,0.6100000000000001
MED1,0.46,0.6,0.74,0.56,0.76,0.7
RPL5,0.52,0.42,0.58,0.56,0.5,0.42000000000000004
RPA2,0.44,0.44,0.6,0.7,0.64,0.69
LSM6,0.58,0.5,0.6,0.64,0.68,0.71
CSE1L,0.48,0.62,0.62,0.6,0.7,0.55
POLR2E,0.42,0.6,0.52,0.64,0.6,0.6799999999999999
SART1,0.56,0.64,0.74,0.66,0.66,0.72
MED10,0.46,0.52,0.72,0.72,0.76,0.71
TPX2,0.54,0.64,0.68,0.74,0.62,0.6699999999999999
HSPA5,0.42,0.46,0.62,0.64,0.62,0.6599999999999999
RFC3,0.44,0.38,0.58,0.56,0.58,0.45999999999999996
RIOK1,0.54,0.56,0.6,0.54,0.5,0.63
EIF3M,0.44,0.62,0.62,0.56,0.54,0.6599999999999999
EIF4E,0.5,0.58,0.64,0.58,0.6,0.6000000000000001
LTV1,0.44,0.5,0.56,0.42,0.66,0.65
CHMP6,0.4,0.66,0.58,0.7,0.68,0.65
INTS8,0.5,0.66,0.7,0.76,0.64,0.74
RPS15A,0.52,0.38,0.58,0.5,0.64,0.62
RPL37,0.54,0.56,0.68,0.56,0.6,0.63
RPS24,0.52,0.44,0.5,0.74,0.56,0.65
RPS11,0.44,0.4,0.56,0.54,0.7,0.5
KAT8,0.52,0.72,0.48,0.72,0.66,0.65
PSMC4,0.46,0.64,0.68,0.72,0.68,0.69
NUP54,0.56,0.66,0.66,0.62,0.68,0.65
ORC1,0.52,0.56,0.54,0.66,0.74,0.7
PSMD12,0.56,0.68,0.8,0.66,0.7,0.71
RARS,0.44,0.66,0.62,0.76,0.56,0.74
MBTPS2,0.52,0.68,0.6,0.68,0.62,0.52
GNL2,0.56,0.42,0.5,0.54,0.72,0.62
MED22,0.5,0.56,0.72,0.7,0.64,0.6799999999999999
POLR2I,0.48,0.68,0.7,0.7,0.68,0.79
HNRNPC,0.42,0.6,0.6,0.66,0.72,0.69
SLU7,0.56,0.74,0.74,0.64,0.72,0.71
GPN3,0.48,0.54,0.78,0.74,0.72,0.71
DYNC1H1,0.48,0.64,0.52,0.66,0.62,0.75
WBP11,0.56,0.48,0.6,0.56,0.66,0.6
RPS29,0.48,0.48,0.68,0.5,0.52,0.6499999999999999
LSM5,0.5,0.62,0.6,0.52,0.5,0.63
SLC7A5,0.52,0.66,0.66,0.7,0.5,0.68
SKP2,0.46,0.6,0.56,0.56,0.46,0.63
CTR9,0.48,0.64,0.6,0.58,0.64,0.61
NUMA1,0.42,0.66,0.58,0.64,0.6,0.6699999999999999
EIF2B2,0.56,0.66,0.74,0.66,0.62,0.66
BDP1,0.48,0.5,0.66,0.6,0.68,0.78
DHX37,0.44,0.58,0.48,0.5,0.66,0.6599999999999999
EIF3H,0.46,0.66,0.5,0.68,0.52,0.62
PRPF18,0.56,0.58,0.6,0.46,0.62,0.69
RPL27A,0.42,0.52,0.4,0.46,0.64,0.61
SF3B4,0.52,0.54,0.66,0.6,0.52,0.5900000000000001
GPS1,0.4,0.74,0.68,0.62,0.62,0.62
DDX24,0.6,0.46,0.56,0.58,0.6,0.6000000000000001
IARS2,0.5,0.48,0.68,0.7,0.58,0.59
DLD,0.48,0.42,0.46,0.6,0.58,0.5700000000000001
PSMC1,0.54,0.56,0.64,0.7,0.64,0.7
HSPA9,0.44,0.64,0.6,0.58,0.66,0.68
UBA1,0.52,0.54,0.66,0.54,0.62,0.63
MED30,0.48,0.58,0.68,0.76,0.7,0.77
EIF3E,0.46,0.56,0.62,0.6,0.6,0.64
PRPF4B,0.52,0.48,0.66,0.54,0.52,0.51
RPSA,0.44,0.42,0.66,0.56,0.54,0.6000000000000001
ISCA2,0.46,0.68,0.66,0.64,0.6,0.74
RPS17,0.48,0.42,0.52,0.58,0.6,0.55
DSN1,0.56,0.48,0.64,0.66,0.66,0.6699999999999999
RPS28,0.52,0.36,0.48,0.44,0.5,0.55
PSMB6,0.5,0.66,0.42,0.66,0.5,0.7
MED19,0.5,0.62,0.62,0.72,0.66,0.77
TIMM23B,0.58,0.58,0.48,0.38,0.66,0.63
OXA1L,0.5,0.66,0.5,0.58,0.6,0.62
CRNKL1,0.54,0.68,0.66,0.58,0.64,0.68
DHODH,0.6,0.52,0.5,0.66,0.62,0.63
WDR3,0.58,0.52,0.64,0.5,0.64,0.66
EXOSC2,0.56,0.64,0.56,0.44,0.56,0.62
PSMA4,0.56,0.62,0.64,0.68,0.52,0.5800000000000001
POLR3E,0.56,0.58,0.48,0.64,0.58,0.66
PTCD1,0.56,0.62,0.68,0.7,0.62,0.67
CCDC86,0.52,0.52,0.5,0.48,0.46,0.5900000000000001
TIMM9,0.46,0.7,0.68,0.66,0.46,0.5700000000000001
EIF4G2,0.5,0.64,0.6,0.72,0.72,0.6100000000000001
RCC1,0.6,0.58,0.56,0.7,0.64,0.65
WDR26,0.48,0.64,0.58,0.7,0.42,0.6699999999999999
MED12,0.54,0.52,0.7,0.66,0.66,0.69
NOL11,0.52,0.44,0.74,0.44,0.52,0.46
USP39,0.56,0.42,0.54,0.6,0.48,0.53
SLC39A9,0.54,0.52,0.7,0.64,0.64,0.64
RPL24,0.4,0.38,0.56,0.5,0.6,0.54
PHB2,0.48,0.5,0.64,0.62,0.66,0.66
GOLT1B,0.5,0.58,0.66,0.56,0.58,0.6200000000000001
COPS6,0.48,0.58,0.58,0.72,0.48,0.6
NUP98,0.5,0.58,0.64,0.6,0.64,0.65
SIN3A,0.46,0.64,0.62,0.7,0.6,0.73
MRPL14,0.52,0.62,0.5,0.7,0.44,0.6799999999999999
GFER,0.44,0.48,0.58,0.8,0.48,0.65
MAGOH,0.42,0.56,0.54,0.46,0.5,0.54
SNRPG,0.44,0.58,0.7,0.76,0.68,0.67
MED6,0.52,0.62,0.72,0.62,0.68,0.69
NACA,0.52,0.6,0.74,0.52,0.56,0.64
RPL36,0.48,0.4,0.46,0.74,0.52,0.48
CHEK1,0.46,0.66,0.56,0.38,0.6,0.6499999999999999
MED11,0.48,0.58,0.48,0.48,0.64,0.63
COPS8,0.58,0.54,0.46,0.6,0.56,0.61
KPNB1,0.64,0.54,0.52,0.6,0.48,0.5900000000000001
TEFM,0.48,0.42,0.54,0.52,0.42,0.61
POLR1E,0.58,0.52,0.54,0.66,0.56,0.55
RRP12,0.44,0.54,0.52,0.78,0.7,0.46
DNTTIP2,0.46,0.32,0.48,0.72,0.68,0.5
LSM2,0.54,0.6,0.6,0.76,0.62,0.71
SON,0.5,0.68,0.64,0.58,0.56,0.5700000000000001
KRR1,0.5,0.46,0.58,0.74,0.48,0.54
SMC4,0.54,0.74,0.64,0.6,0.54,0.7
VARS,0.48,0.64,0.64,0.74,0.68,0.64
RPS12,0.44,0.42,0.72,0.74,0.54,0.55
YTHDC1,0.56,0.5,0.7,0.48,0.56,0.63
GUCD1,0.5,0.54,0.7,0.34,0.62,0.75
BCAS2,0.54,0.5,0.58,0.62,0.5,0.5800000000000001
GAB2,0.44,0.66,0.76,0.74,0.78,0.6699999999999999
CNOT3,0.56,0.52,0.64,0.56,0.56,0.56
DONSON,0.44,0.64,0.58,0.64,0.7,0.64
RPL19,0.46,0.4,0.5,0.74,0.54,0.52
POLRMT,0.48,0.58,0.54,0.58,0.5,0.62
RPL11,0.5,0.5,0.66,0.72,0.62,0.6100000000000001
PHF5A,0.46,0.56,0.72,0.66,0.7,0.64
HMGCS1,0.38,0.56,0.58,0.58,0.5,0.69
DYNC1I2,0.42,0.46,0.66,0.58,0.74,0.65
