PTBs,Nontargeting,GEARS,Causal,Conditional,Full,RandAvg
PSMD7,0.24893809313123877,0.24593355845321307,0.21837448261000894,0.2231720049272884,0.22587797858498312,0.24571500650861047
CSE1L,0.30088457006674546,0.29679783490987927,0.27726437609929305,0.2950842793171222,0.2796881611530597,0.3042213825079111
GFM1,0.20985096480165208,0.20471708263669694,0.21134912541934422,0.20772587614400045,0.2177646905183792,0.22563807666301727
MED1,0.33087374908583506,0.3290616912501199,0.22189223766326904,0.22664977610111237,0.2410401212317603,0.26924192053931095
SART1,0.24631246593263414,0.2437421696053611,0.22633396254645455,0.21847565637694466,0.2284721765253279,0.24189241478840512
PSMD12,0.22890199534595013,0.22821731306612492,0.21716361306607723,0.22251120582222939,0.22011705674231052,0.2505989717319608
RPS24,0.2711946112768991,0.28684601187705994,0.25671569790158955,0.22398075887135097,0.2615792006254196,0.2710165338856833
RFC3,0.22137045647416795,0.2141239047050476,0.2209062342132841,0.21250502126557486,0.22540931403636932,0.24269277389560429
POLR2I,0.30262892444928485,0.29333500067392987,0.2372909833987554,0.233608511586984,0.23834784080584845,0.25677546362082165
MBTPS2,0.20016711205244064,0.19629345585902533,0.20971202850341797,0.20369782547156015,0.20694934328397116,0.24097060287992159
LSM6,0.2810187701668058,0.2686713380473001,0.2537134534546307,0.24159586216722215,0.25165811819689615,0.25840985402464867
RPL5,0.23600500573714575,0.24226071685552597,0.23128594209750494,0.22880498071511587,0.23295562465985617,0.2566032434503237
RIOK1,0.2263403207063675,0.23221681267023087,0.23438645303249359,0.23816643059253692,0.23895684480667115,0.25427946746349334
RPL37,0.21287965097210623,0.2131053019653667,0.2085441161285747,0.21946917338804764,0.2085474282503128,0.2285633324222131
LTV1,0.23671640621291268,0.24128743012746176,0.23275458812713623,0.25230758388837177,0.24231265816423628,0.2688360752330886
EIF3M,0.23398512601852417,0.22799941897392273,0.22732989702905929,0.22748698081289018,0.23138349609715597,0.24279342804636272
MED22,0.30623428026835126,0.30699580907821655,0.2153681351078881,0.24535204635726082,0.23087331155935922,0.2939373420344459
NUP54,0.23789339264233908,0.23112237619029152,0.2428265462319056,0.2218172252178192,0.267805074652036,0.23585693620973164
CHMP6,0.22161748221046046,0.215346612428364,0.2149318691931273,0.21256869874502482,0.21786096927366758,0.23020745382497187
RPA2,0.24131080295358384,0.2361582283462797,0.22269593392099654,0.21767651183264597,0.21484431624412537,0.22727923946721212
PSMC4,0.27738042388643536,0.2714403931583677,0.23029701837471553,0.23649699773107255,0.23815202500138963,0.25740640291145866
RPL4,0.23977473378181458,0.2455342635512352,0.22556376010179519,0.24856870472431183,0.22447438538074493,0.2541963577270508
SUPT5H,0.4088808322946231,0.4142699216802915,0.2550290549794833,0.27264217163125676,0.27039342001080513,0.3233920981486639
RPL14,0.2729268918434779,0.27535924315452576,0.24996366848548254,0.28528472284475964,0.26206278800964355,0.27890482296546304
POLR2F,0.23390791714191436,0.22133913040161132,0.21242594122886657,0.2127150923013687,0.21876149326562883,0.2390251815319061
RPS15A,0.23867098324828678,0.24498119288020664,0.2379900316397349,0.2607831458250682,0.24280236661434174,0.2590516325500276
POLA1,0.21897914367062704,0.2137637095791953,0.21598623905863082,0.21826617206845964,0.22714222967624664,0.23003440563167843
AATF,0.22901475760671827,0.22893548839622074,0.23665174841880798,0.24583767520056832,0.233982405728764,0.25835493372546303
HSPA5,0.2841150359465526,0.2740037922675793,0.2468306731719237,0.24046491315731636,0.23962340790491837,0.28044606229433644
POLR2E,0.19879490562847682,0.1951656746012824,0.21167345132146562,0.20516203556741988,0.21809462138584682,0.2365257740020752
HNRNPC,0.25290443897247317,0.25331984311342237,0.23902383893728257,0.25055467784404756,0.23544096648693086,0.25841839239001274
ORC1,0.21131696924567223,0.20802544429898262,0.21211321093142033,0.20817955117672682,0.211279577575624,0.2319254046306014
GNL2,0.22779826074838638,0.2265145793557167,0.21608419567346573,0.23672419041395187,0.2139642581343651,0.22621958032250405
RPL18,0.24484766523043314,0.2559826804531945,0.23356115818023682,0.2601633734173245,0.23275752034452227,0.25810326718621784
RPL7,0.25199024544821846,0.25576619141631657,0.23308428956402671,0.2606954491800732,0.2355882161193424,0.2525548314054807
RPS20,0.22305896691977978,0.22853638790547848,0.21763810515403748,0.24146714061498642,0.2209041640162468,0.2475378317758441
SF3B2,0.2290083716313044,0.22864332099755605,0.22355956236521404,0.21543311377366384,0.22993912696838378,0.24017539769411086
PHAX,0.2221307729681333,0.21652454510331154,0.21753832573692003,0.2110611585279306,0.2288575160006682,0.23145851182440919
MED10,0.2587961331009865,0.25732673425227404,0.21404939983040094,0.21965001989156008,0.2466479390859604,0.24815750773996115
NUF2,0.19740358392397564,0.19745355049769084,0.19931072096029917,0.1988721122344335,0.20236726899941762,0.22345067958037057
