PTBs,Nontargeting,GEARS,Causal,Conditional,Full,RandAvg
PHAX,0.005287824,0.004280827,0.0040308484,0.0028769544,0.004605395,0.004997757729142904
NAA38,0.01328719,0.010802876,0.00822318,0.006937118,0.0077874674,0.007960223592817783
NUF2,0.003095014,0.0015973288,0.0017053946,0.0011568754,0.0016717049,0.0028059384785592556
RBM14,0.0070780064,0.006527483,0.006705673,0.00583943,0.0069299904,0.008566444739699364
SUPT5H,0.031202108,0.026366148,0.012048263,0.015106533,0.010250811,0.011782759800553322
RPL18,0.008763194,0.009047876,0.0054893694,0.009501216,0.0056204996,0.005962643772363663
AATF,0.006217948,0.0060779853,0.0042598345,0.005020457,0.0042593754,0.005064436234533787
RPL7,0.009383981,0.009714166,0.0056678504,0.008345983,0.005909177,0.006309981923550367
PSMD7,0.010376141,0.008870584,0.006078388,0.0062833494,0.0059764576,0.006166154518723488
RPL4,0.007972942,0.008506496,0.0047822115,0.0077026812,0.0042242203,0.005582228768616915
PSMC2,0.008432477,0.0077301227,0.005001862,0.0046557602,0.0044691074,0.0052323187701404095
POLR2F,0.006444359,0.004926726,0.003607553,0.003408126,0.004109878,0.004318705759942532
RPL14,0.012974662,0.013084705,0.008650016,0.011809875,0.010411501,0.0095050148665905
NSRP1,0.010680906,0.008860224,0.008141509,0.006416559,0.007124742,0.0073254965245723724
POLA1,0.005327149,0.0043683,0.0034065887,0.0044225953,0.004121012,0.005002198740839958
RPS20,0.0056616957,0.00583591,0.0034689663,0.0056620957,0.0035187094,0.005211106035858393
CNOT1,0.01636066,0.015985755,0.011972504,0.038528126,0.014123782,0.015386082231998444
INTS9,0.015552398,0.013334385,0.012785858,0.008334383,0.009093096,0.009444242343306541
SF3B2,0.007504213,0.006373959,0.005487571,0.0041355863,0.005752902,0.004895891062915325
GFM1,0.00376211,0.0028340223,0.003743109,0.0027602906,0.0033086564,0.0041371919214725494
NIP7,0.0040361886,0.0040215673,0.0029009497,0.003396696,0.0025045613,0.0038999763783067465
MED1,0.018276723,0.016310547,0.0052024685,0.006773934,0.006812287,0.006684006657451391
RPL5,0.008531332,0.0089195585,0.006023058,0.005987494,0.006013528,0.007623185403645039
