PTBs,Nontargeting,GEARS,Causal,Conditional,Full,RandAvg
PSMD7,0.013868592,0.011085838,0.0054419176,0.0072276974,0.005401156,0.004747234284877777
CSE1L,0.013077927,0.012503138,0.009215274,0.010390776,0.008900865,0.010780595242977142
GFM1,0.0043551032,0.0026008782,0.005153617,0.002518447,0.0047191186,0.005774013698101044
MED1,0.018067192,0.016213167,0.006720516,0.013572706,0.00774018,0.005092458333820105
SART1,0.00952912,0.008476569,0.0063317567,0.0057543125,0.0075194514,0.010097909718751907
PSMD12,0.007581349,0.006317216,0.0036537058,0.005588259,0.0041152104,0.0031069284304976463
RPS24,0.01349089,0.01649808,0.010739765,0.0037132844,0.008557302,0.008078830316662788
RFC3,0.0034085524,0.00400536,0.003897568,0.0033394713,0.0047723115,0.008755441755056381
POLR2I,0.014912766,0.012117314,0.0061802827,0.006511256,0.0078864135,0.007024211809039116
MBTPS2,0.002458438,0.0018469626,0.0025079413,0.0015291027,0.0021589145,0.00840237457305193
LSM6,0.010290737,0.0077219503,0.004664427,0.005192311,0.005705078,0.009267624467611313
RPL5,0.008415875,0.011203966,0.0074307853,0.008513566,0.007823072,0.01235710084438324
RIOK1,0.007153581,0.008573678,0.005194791,0.009888073,0.0048984126,0.004940921440720558
RPL37,0.0036529964,0.0041896575,0.0019816766,0.0039645447,0.0026474104,0.005397791042923927
LTV1,0.011127064,0.010591571,0.006984862,0.011473625,0.0072293556,0.008102092891931534
EIF3M,0.0059488453,0.0051396852,0.0057898234,0.004265232,0.0072100805,0.010908260010182858
MED22,0.0126129445,0.012448363,0.005817296,0.010512647,0.0057540876,0.010158674791455269
NUP54,0.0066549517,0.006711762,0.0049054916,0.0037656436,0.008724328,0.007827652618288994
CHMP6,0.0069114487,0.0053209146,0.0044400087,0.0046817386,0.0034079948,0.005590979941189289
RPA2,0.011079873,0.00966102,0.0048586833,0.004936419,0.0053263013,0.006793984677642584
PSMC4,0.014884826,0.0112262145,0.0077257194,0.007901957,0.0056207483,0.004959961865097284
RPL4,0.009893831,0.012579738,0.008777923,0.012779372,0.0059640314,0.01089324802160263
SUPT5H,0.037092682,0.033963338,0.018195992,0.024266805,0.013937389,0.015786871314048767
RPL14,0.01564835,0.015117416,0.010437711,0.015232377,0.0142581025,0.014791792258620262
POLR2F,0.0076798825,0.0054333997,0.0042026476,0.0039134957,0.003866536,0.0026184706948697567
RPS15A,0.008375533,0.00970619,0.0061330064,0.009704119,0.00627259,0.006850343197584152
POLA1,0.004259583,0.0036998384,0.0019237335,0.0038180717,0.0029795596,0.005753185600042343
AATF,0.0070383227,0.007657029,0.005006463,0.0074453484,0.004406307,0.005253042094409466
HSPA5,0.01898269,0.018520325,0.00791493,0.007095924,0.007848831,0.013316480442881584
POLR2E,0.0034537665,0.0028888183,0.00301018,0.0025101847,0.0033178276,0.004473286215215921
HNRNPC,0.012162661,0.011516614,0.008358797,0.0109165795,0.006775598,0.00998551957309246
ORC1,0.0031154589,0.0019716208,0.0025822294,0.0014954177,0.0020409878,0.005413916893303394
GNL2,0.0063021807,0.007440035,0.0051842136,0.005919952,0.0043000756,0.006131109781563282
RPL18,0.010785465,0.0126932645,0.008372887,0.0128770545,0.007777338,0.01122665498405695
RPL7,0.011042949,0.014304454,0.008442142,0.012921883,0.00977445,0.010470326989889145
RPS20,0.005432633,0.00654359,0.0029717656,0.007144664,0.0026261574,0.005350291728973389
SF3B2,0.008262221,0.008170908,0.006093979,0.0051061087,0.006394799,0.00708840973675251
PHAX,0.004723397,0.0040815254,0.0030092418,0.0028502452,0.003048308,0.007409875746816397
MED10,0.011273239,0.007770273,0.003439172,0.0050123245,0.011331523,0.0036308791022747755
NUF2,0.004036045,0.0021009357,0.0020047827,0.0016971612,0.0019076776,0.003156202845275402
TPX2,0.004281335,0.002732589,0.0019652552,0.001979412,0.0024689168,0.002368930261582136
KAT8,0.0059314943,0.004899009,0.004984017,0.004749807,0.005175733,0.007054960820823908
SLU7,0.019282138,0.019940464,0.014529986,0.01414644,0.016316144,0.015437834896147251
PSMC2,0.009640414,0.008736285,0.004053883,0.005959779,0.0043659825,0.0038285390473902225
INTS8,0.016605126,0.012510422,0.009092903,0.0073331175,0.0077934875,0.008166491985321045
RPS11,0.011616967,0.012278337,0.008180895,0.012823905,0.006339005,0.008369910530745983
NAA38,0.0095531205,0.0077848206,0.00431001,0.005224182,0.0060443445,0.007127555087208748
EIF4E,0.011309807,0.010731016,0.008700791,0.0083222985,0.010896031,0.014283929020166397
NSRP1,0.01065083,0.007875865,0.009712909,0.008117256,0.0068686693,0.008099808357656002
